DDX11L1	53	65	48
WASH7P	1856	1627	1852
LOC100996442	82	91	116
LOC101929017	149	147	170
MMACHC	1434	1360	1452
FGA	0	1	0
FGG	2	3	5
LOC101927965	39	43	47
LRAT	22496	21524	25154
RBM46	133	120	190
NPY2R	27	40	41
MAP9	4316	4053	4742
PRDX1	100486	99970	104263
GUCY1A3	2	2	0
GUCY1B3	669	657	715
ASIC5_variant1	0	0	0
TDO2_variant1	0	1	2
CTSO_variant1	130	122	120
LOC100505784	0	0	0
PDGFC	581	525	652
GLRB	119	114	116
GRIA2	1	2	1
LOC340017	0	0	0
FAM198B	2	4	5
LOC101928007	0	0	0
AKR1A1	19106	18408	19432
TMEM144	1240	1195	1309
RXFP1	381	264	363
C4orf46	5951	5744	6727
ETFDH	2055	2060	2290
PPID	10160	10368	11077
FNIP2	3300	3184	3540
LOC101928028	0	0	0
C4orf45	2	0	1
NASP	109387	104532	103912
PSME2P3	1	0	0
FABP5P12	0	0	0
RAPGEF2	9133	8905	10651
MIR3688-1	0	0	0
MIR3688-2	0	0	0
FSTL5	145	172	185
LOC101928052	0	0	0
CCDC17	221	188	258
MIR4454	0	0	0
LOC101928081	37	20	37
NAF1	899	833	869
NPY1R	870	808	838
NPY5R	125	125	131
TKTL2	0	1	3
TMA16	6028	6193	6740
MARCH1	554	473	854
GPBP1L1	22188	21391	23213
ANP32C	0	1	0
LOC100505989	45	38	48
LOC100506013	25612	25695	28336
RPL26P16	15	3	8
LOC101059914	7	2	0
RPS15AP10	86	77	82
NACA3P	1	3	0
TRIM61	1335	1299	1481
FAM218A	446	393	506
RPL21P51	20	21	19
TRIM60	3	3	2
RPL7AP16	85	91	124
TMEM192	2508	2418	2595
KLHL2	2304	2175	2211
GK3P	16	24	24
MSMO1	11530	11462	12826
CPE	4555	4462	4790
MIR578	0	0	0
HADHAP1	9	12	6
LOC402191	0	0	0
TMEM69	4003	3650	4241
LOC101928151	62	59	66
LOC101928131	16	22	18
TLL1	96	108	104
SPOCK3	72	79	63
ANXA10	1	0	2
DDX60	2099	2020	2234
DDX60L	451	456	464
LOC100506504	190	161	199
IPP	1238	1159	1328
PALLD	11744	11172	11885
RPL9P16	4	3	2
LOC101928172	57	55	63
CBR4	6975	6554	7416
SH3RF1	2831	2769	2882
RPL6P12	0	0	2
NEK1	4396	4132	4554
CLCN3	13831	13449	14222
RPL6P1	0	0	0
C4orf27	5577	5246	5843
LOC100506085	293	308	292
MFAP3L	1130	1085	1171
LOC101928198	0	0	0
AADAT	1059	961	1130
LOC101928223	84	66	90
LOC100506107	0	0	0
MAST2	5668	5367	5846
LOC100506122	5	0	3
LOC101929135	0	0	0
LOC101928288	69	66	51
LOC441052	1	6	8
GALNTL6	11	5	12
LOC101928314	0	0	0
GALNT7	17613	17581	19893
MIR548T	0	0	0
HMGB2	59662	59286	61935
TMA16P2	11	18	16
SAP30	2144	2157	2009
LOC101928383	4	8	6
SCRG1	2	0	4
RPL5P11	2	1	1
LOC101928409	2	3	2
LOC101928439	0	0	0
HAND2	2	0	2
HAND2-AS1	0	0	0
PIK3R3	4663	4458	4801
LOC101928478	6	6	4
LOC101928509	9	9	7
FBXO8	1334	1256	1371
CEP44	4813	4401	5002
MIR4276	0	0	0
HPGD	119	137	137
GLRA3	10	11	19
LOC101928551	8	6	6
ADAM29	2	5	3
LOC101929626	3	2	2
TSEN2P1	0	0	0
GPM6A	923	824	975
LOC101928590	0	0	1
WDR17	1003	1018	1188
SPATA4	4	3	5
ASB5	1	1	2
TSPAN1	8	7	16
SPCS3	21437	21313	24874
VEGFC	111	112	90
NEIL3	1698	1716	1826
AGA	1742	1730	1828
LOC285500	2	3	6
LOC285501	0	0	0
LOC101928656	0	0	0
RPL19P8	1	0	1
POMGNT1	5702	5654	5825
LINC00290	0	0	0
LOC101928679	2	1	4
LOC101928703	53	71	63
MGC45800	1994	1847	2047
TENM3	15065	14351	15688
MIR1305	0	0	0
DCTD	6734	6292	6751
LURAP1	294	304	379
FAM92A1P2	16	10	23
WWC2-AS2	403	421	376
WWC2	29953	28827	31596
LOC101928734	1	0	2
CLDN22	0	0	0
CLDN24	3	8	11
CDKN2AIP	3100	3106	3256
RAD54L	3191	2923	3240
VTI1BP2	13	8	11
LOC389247	60	41	29
ING2	2255	2239	2266
RWDD4	4572	4670	5069
TRAPPC11	12449	12152	12882
LOC101928783	371	349	410
LOC101929169	99	93	81
STOX2	1728	1724	1939
ENPP6	35	40	52
C1orf86	3225	3021	2922
LRRC41	7603	7081	7637
LOC391722	1	3	0
LOC728175	9	19	18
IRF2	1995	2028	2206
CASP3	12636	12752	13883
CCDC111	1133	1106	1113
MLF1IP	21774	20970	22636
ACSL1	1235	1171	1264
SLED1	1	0	0
UQCRH	30951	31006	32317
LOC731424	273	262	226
MIR3945	0	0	0
LOC100506229	0	0	0
MIR4455	0	0	0
LOC101928810	0	0	0
HELT	4	5	7
LOC101928877	0	0	0
LOC101928905	0	0	0
SLC25A4	7862	7659	8078
KIAA1430	15461	14936	16366
NSUN4	1554	1399	1535
SNX25	4698	4454	4571
LRP2BP	328	280	366
ANKRD37	283	228	256
UFSP2	5551	5594	6118
C4orf47	338	281	345
CCDC110	727	613	708
PDLIM3	2576	2572	2836
SORBS2	1365	1443	1503
LOC101928929	0	0	0
TLR3	287	263	319
FAAH	886	772	934
FAM149A	1981	1834	2039
FLJ38576	197	182	212
CYP4V2	1258	1120	1160
KLKB1	2288	2308	2418
F11	61	62	60
LOC285441	15	9	10
SLC25A5P6	0	1	0
MTNR1A	134	131	110
FAT1	56638	55042	67751
LOC729041	27	42	29
LOC339975	9	4	4
LOC100652955	0	0	0
LOC100506272	0	0	0
ZFP42	27987	27943	29707
TRIML2	1125	1178	1286
TRIML1	0	0	0
LOC101929651	3	1	3
RPL7AP27	1	0	0
LOC401164	209	238	249
HSP90AA4P	11	23	12
LOC101928971	0	0	0
FRG1_variant1	2189	2259	2407
TUBB7P_variant1	0	0	0
DUX4L9_variant1	4	2	0
DMBX1	10	3	10
FRG2_variant2	0	0	0
DUX2_variant1	0	0	0
DUX4L7_variant2	0	0	0
DUX4L6_variant1	0	0	0
