Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
L1TD1	4073.37521138179	-4.89727126682433	0.11434556370479	-42.8286949502282	0	0
POU5F1_variant2	5136.02391663596	-8.8984434470322	0.20876607752986	-42.6239911786407	0	0
B3GNT7	2447.01987211294	-7.91571487733115	0.224063182239448	-35.3280480898996	2.17922926009028e-273	1.46124585986587e-269
AK4	2278.51127139666	-5.31063481926788	0.150551612926112	-35.2745129464288	1.44449443089379e-272	7.26436249296487e-269
RNA45S5	10020.661013187	3.73066672453131	0.106215213282999	35.1236570470497	2.93544109644165e-270	1.18098666192041e-266
CLDN6	3368.89724193573	-3.76486525850132	0.117522800898751	-32.0351900202316	3.53017594440794e-225	1.1835503216285e-221
ZIC1	1317.96360194421	-4.68552526852587	0.146565917497049	-31.9687233467508	2.96803211549395e-224	8.52927629075377e-221
WNT8B	1560.30381263087	-5.64304260847114	0.176718195513988	-31.9324367932699	9.47265354121891e-224	2.3818987329395e-220
OTX2	1173.01775819856	-6.17007214228448	0.195966522916067	-31.4853376508963	1.37906005493776e-217	3.08235245168089e-214
ZFP42	1161.67008414741	-5.49026197488035	0.178601106948026	-30.7403580453623	1.64523738873388e-207	3.30955953117707e-204
PPP1R3B	1714.24955984006	-4.91090466877545	0.163389776188244	-30.0563767412075	1.80216174286007e-198	3.29566232903393e-195
SERPINE2	5196.01345178036	-3.07571609240487	0.106124475567378	-28.9821558689552	1.10441857913872e-184	1.85137367816288e-181
NR2F2	2327.54961292622	2.64136251368653	0.093029331674201	28.3927925327559	2.48199887860536e-177	3.8406068801558e-174
CER1	900.115845098278	-5.89931799903363	0.213889898230042	-27.5810968533391	1.87578354378286e-167	2.69523298333828e-164
ASCL1	810.78068606436	4.52932576606728	0.167331799915279	27.0679319075066	2.34956405524753e-161	3.15092203569062e-158
CYP2S1	679.356160972952	-4.27543626172437	0.158172860533177	-27.0301507307417	6.53758210051122e-161	8.21937509586773e-158
PDK1	1881.38757539689	-3.67227795962302	0.138287356146109	-26.5554137555645	2.2238757273635e-155	2.6314990665673e-152
LRAT	687.296543710652	-5.95399981925938	0.22534853995089	-26.4212930802966	7.80177532181949e-154	8.71891735409561e-151
RHOB	6334.65512959678	2.63332590416583	0.10043300881107	26.2197253207809	1.58343793298196e-151	1.67644407683501e-148
CORO2A	879.655685276107	-4.34834576984738	0.167639362169471	-25.9386919251788	2.43931303511158e-148	2.45346105071523e-145
HAS2	843.581392569095	-4.30951294449896	0.167187926997083	-25.7764601900599	1.62860063927768e-146	1.56004430760523e-143
AJUBA	4071.70970493406	2.16167867501461	0.0842707361392236	25.6515935904879	4.05844766499693e-145	3.7108969649581e-142
LDB2	1173.65670603254	-3.02313811010548	0.118887536326039	-25.4285537704709	1.21921246156424e-142	1.06633382073157e-139
NR2F1	3854.88400952149	2.86210292742096	0.112685267805953	25.3990870603384	2.58111820928272e-142	2.16340724574714e-139
GCNT1	522.282174015982	-5.0424740526689	0.200327471734491	-25.1711560526859	8.29209191328621e-140	6.67214883710662e-137
PCDH10	2035.72793253842	-5.64724934842829	0.224498744252086	-25.1549262212669	1.24826185448997e-139	9.65770594804625e-137
SP5	2369.57515844438	-3.93865901871565	0.157151716722791	-25.0627807373131	1.26679833760184e-138	9.43811679970316e-136
CYR61	2640.01743387692	2.80586755671049	0.11319650325527	24.7875815596792	1.22034384362864e-135	8.76729884229778e-133
NFE2L3	1232.58351838908	-3.51290426891834	0.14337129541299	-24.5021449991032	1.40139291095486e-132	9.72083441267862e-130
MIXL1	2312.27872889653	-9.96419013779248	0.408117521446725	-24.4150020868271	1.18509623526246e-131	7.94646528951322e-129
ESRG	15695.7461702146	-8.87124143377796	0.363758926818217	-24.3876941010749	2.31010051996296e-131	1.49903167934113e-128
F2RL1	569.854947709839	-4.11600488679555	0.168786895454001	-24.3858083634063	2.41900215518383e-131	1.52064522980244e-128
PDGFA	468.559584921532	-4.57631194026068	0.189383799901584	-24.164220712853	5.29268635696866e-129	3.22629329566005e-126
