Gene,12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq_REPLICANT.3,72hrs.RNASeq_REPLICANT.1,72hrs.RNASeq_REPLICANT.2,72hrs.RNASeq_REPLICANT.3
DDX11L1,44,77,47,109,119,84
WASH7P,1532,1630,1644,3004,2444,2379
LOC100996442,283,240,239,128,65,96
LOC101929017,236,246,186,203,158,162
MMACHC,1332,1353,1408,1884,1587,1540
FGA,1,3,1,1,0,0
FGG,16,21,18,1,1,1
LOC101927965,54,53,47,28,18,23
LRAT,27726,29107,30256,6589,5666,5478
RBM46,141,150,137,92,79,59
NPY2R,76,81,89,125,107,126
MAP9,3147,3484,3582,4606,4573,4085
PRDX1,72842,79817,88348,67445,55866,61016
GUCY1A3,6,7,11,28,16,18
GUCY1B3,283,282,360,390,363,367
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,8,6,7,4,2,2
CTSO_variant1,170,183,193,287,256,223
LOC100505784,0,0,0,0,0,0
PDGFC,273,277,291,294,301,279
GLRB,41,49,34,277,214,209
GRIA2,6,4,3,0,3,0
LOC340017,0,1,1,0,0,0
FAM198B,24,28,24,1,0,0
LOC101928007,0,0,0,0,0,0
AKR1A1,13244,13845,15003,22790,18424,19729
TMEM144,771,883,876,666,593,582
RXFP1,153,159,143,1,3,5
C4orf46,4560,4967,5262,10321,9331,9184
ETFDH,1032,985,1095,1696,1328,1411
PPID,8392,9091,9798,10540,9269,9583
FNIP2,2306,2315,2498,2549,2018,2067
LOC101928028,0,0,0,0,0,0
C4orf45,1,3,1,3,2,2
NASP,64763,66989,67189,130213,106489,114728
PSME2P3,0,1,1,3,0,1
FABP5P12,0,0,0,0,0,0
RAPGEF2,9183,9397,9718,14364,11861,11823
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,53,61,74,7,14,10
LOC101928052,1,1,0,0,0,0
CCDC17,164,154,112,199,185,143
MIR4454,0,0,0,0,0,0
LOC101928081,106,124,92,47,49,31
NAF1,885,847,827,1045,930,1013
NPY1R,1317,1369,1624,1614,1558,1515
NPY5R,276,307,298,320,298,312
TKTL2,4,3,3,1,0,0
TMA16,5084,5654,6027,6616,6508,6089
MARCH1,1049,1164,1084,848,874,604
GPBP1L1,13166,13841,14438,27187,23891,23812
ANP32C,0,2,0,0,0,0
LOC100505989,109,100,82,55,41,48
LOC100506013,4529,5172,5406,976,913,893
RPL26P16,0,1,0,1,1,3
LOC101059914,1,2,1,0,0,0
RPS15AP10,85,89,70,136,99,90
NACA3P,2,1,0,2,3,2
TRIM61,1333,1427,1556,1639,1466,1436
FAM218A,434,483,505,510,508,428
RPL21P51,11,11,18,23,23,30
TRIM60,5,8,1,1,3,0
RPL7AP16,86,100,89,152,136,138
TMEM192,1924,1932,2162,3119,2786,2741
KLHL2,1903,2145,2085,2501,2217,2246
GK3P,73,55,59,27,24,21
MSMO1,14294,15575,17185,8290,7438,7574
CPE,1823,1981,2106,5922,5035,5106
MIR578,0,0,0,0,0,0
HADHAP1,68,80,44,7,3,8
LOC402191,0,0,0,0,0,0
TMEM69,2241,2417,2594,4812,4028,4047
LOC101928151,94,117,103,60,47,40
LOC101928131,25,32,28,8,14,15
TLL1,129,110,129,14,20,9
SPOCK3,48,62,39,21,21,18
ANXA10,1,7,4,0,0,0
DDX60,1293,1441,1543,3293,3103,2922
DDX60L,133,164,154,617,563,538
LOC100506504,224,218,169,308,237,213
IPP,572,560,627,1840,1640,1738
