Gene,0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq_REPLICANT.3,6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq_REPLICANT.3
DDX11L1,22,23,32,53,65,48
WASH7P,1686,1772,1403,1856,1627,1852
LOC100996442,115,124,130,82,91,116
LOC101929017,118,171,119,149,147,170
MMACHC,1746,1784,1512,1434,1360,1452
FGA,0,0,0,0,1,0
FGG,4,2,0,2,3,5
LOC101927965,44,44,39,39,43,47
LRAT,24852,22451,14291,22496,21524,25154
RBM46,101,112,79,133,120,190
NPY2R,40,30,22,27,40,41
MAP9,4148,3950,2290,4316,4053,4742
PRDX1,145380,134284,70966,100486,99970,104263
GUCY1A3,2,1,0,2,2,0
GUCY1B3,454,440,315,669,657,715
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,2,1,0,1,2
CTSO_variant1,67,63,34,130,122,120
LOC100505784,0,0,0,0,0,0
PDGFC,262,272,146,581,525,652
GLRB,71,77,45,119,114,116
GRIA2,0,1,1,1,2,1
LOC340017,0,1,0,0,0,0
FAM198B,2,4,0,2,4,5
LOC101928007,0,0,0,0,0,0
AKR1A1,18982,18252,10949,19106,18408,19432
TMEM144,480,340,201,1240,1195,1309
RXFP1,37,22,22,381,264,363
C4orf46,7558,6561,3807,5951,5744,6727
ETFDH,2372,2099,1464,2055,2060,2290
PPID,11060,10067,6208,10160,10368,11077
FNIP2,3180,2828,1972,3300,3184,3540
LOC101928028,0,0,0,0,0,0
C4orf45,0,1,1,2,0,1
NASP,120382,119390,96592,109387,104532,103912
PSME2P3,1,2,1,1,0,0
FABP5P12,0,0,0,0,0,0
RAPGEF2,12833,11535,8879,9133,8905,10651
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,46,64,32,145,172,185
LOC101928052,2,1,2,0,0,0
CCDC17,129,173,150,221,188,258
MIR4454,0,0,0,0,0,0
LOC101928081,57,67,40,37,20,37
NAF1,930,1051,1882,899,833,869
NPY1R,3126,2853,1703,870,808,838
NPY5R,399,324,145,125,125,131
TKTL2,0,2,0,0,1,3
TMA16,8416,7558,4126,6028,6193,6740
MARCH1,426,454,298,554,473,854
GPBP1L1,21128,20177,13522,22188,21391,23213
ANP32C,0,0,1,0,1,0
LOC100505989,28,51,59,45,38,48
LOC100506013,15767,13725,7937,25612,25695,28336
RPL26P16,9,8,4,15,3,8
LOC101059914,2,3,0,7,2,0
RPS15AP10,60,70,76,86,77,82
NACA3P,1,1,2,1,3,0
TRIM61,1854,1844,1164,1335,1299,1481
FAM218A,228,246,155,446,393,506
RPL21P51,15,22,6,20,21,19
TRIM60,1,1,1,3,3,2
RPL7AP16,89,115,76,85,91,124
TMEM192,2248,2202,1525,2508,2418,2595
KLHL2,2066,1950,1139,2304,2175,2211
GK3P,19,8,10,16,24,24
MSMO1,41217,36076,20512,11530,11462,12826
CPE,3666,3334,1996,4555,4462,4790
MIR578,0,0,0,0,0,0
HADHAP1,11,9,8,9,12,6
LOC402191,0,0,0,0,0,0
TMEM69,5234,4651,3032,4003,3650,4241
LOC101928151,42,45,50,62,59,66
LOC101928131,19,15,14,16,22,18
TLL1,195,177,105,96,108,104
SPOCK3,30,31,12,72,79,63
ANXA10,8,2,3,1,0,2
DDX60,453,332,222,2099,2020,2234
DDX60L,49,31,35,451,456,464
LOC100506504,186,194,219,190,161,199
IPP,631,562,383,1238,1159,1328
PALLD,3849,3627,2678,11744,11172,11885
RPL9P16,0,0,0,4,3,2
LOC101928172,53,81,51,57,55,63
CBR4,5406,5122,3105,6975,6554,7416
SH3RF1,3230,3013,2331,2831,2769,2882
RPL6P12,2,1,3,0,0,2
NEK1,2996,2916,2531,4396,4132,4554
CLCN3,9162,8711,5733,13831,13449,14222
RPL6P1,0,0,0,0,0,0
C4orf27,4220,3922,2283,5577,5246,5843
LOC100506085,226,289,227,293,308,292
MFAP3L,1462,1396,989,1130,1085,1171
LOC101928198,0,0,0,0,0,0
AADAT,909,979,700,1059,961,1130
LOC101928223,36,29,7,84,66,90
LOC100506107,0,0,0,0,0,0
MAST2,6435,6400,5863,5668,5367,5846
LOC100506122,0,2,2,5,0,3
LOC101929135,0,0,0,0,0,0
LOC101928288,84,105,33,69,66,51
LOC441052,15,10,7,1,6,8
GALNTL6,17,22,9,11,5,12
LOC101928314,1,0,0,0,0,0
GALNT7,21544,20137,14112,17613,17581,19893
MIR548T,0,0,0,0,0,0
HMGB2,30289,26992,16545,59662,59286,61935
TMA16P2,17,20,9,11,18,16
SAP30,2481,2407,1455,2144,2157,2009
LOC101928383,3,6,1,4,8,6
SCRG1,4,2,0,2,0,4
RPL5P11,3,0,0,2,1,1
LOC101928409,3,1,1,2,3,2
LOC101928439,0,0,0,0,0,0
HAND2,1,0,0,2,0,2
HAND2-AS1,0,0,0,0,0,0
PIK3R3,6913,6783,4512,4663,4458,4801
LOC101928478,1,1,1,6,6,4
LOC101928509,3,8,6,9,9,7
FBXO8,1013,919,539,1334,1256,1371
CEP44,3061,2889,1475,4813,4401,5002
MIR4276,0,0,0,0,0,0
HPGD,246,177,122,119,137,137
GLRA3,7,5,4,10,11,19
LOC101928551,3,2,4,8,6,6
ADAM29,1,2,1,2,5,3
LOC101929626,6,0,5,3,2,2
TSEN2P1,0,0,0,0,0,0
GPM6A,553,436,254,923,824,975
LOC101928590,2,0,0,0,0,1
WDR17,907,873,528,1003,1018,1188
SPATA4,2,2,3,4,3,5
ASB5,1,0,0,1,1,2
TSPAN1,3,4,1,8,7,16
SPCS3,23500,20845,11545,21437,21313,24874
VEGFC,100,86,74,111,112,90
NEIL3,1847,1699,1065,1698,1716,1826
AGA,1448,1279,705,1742,1730,1828
LOC285500,0,3,1,2,3,6
LOC285501,2,1,0,0,0,0
LOC101928656,2,1,1,0,0,0
RPL19P8,2,0,0,1,0,1
POMGNT1,5759,5507,3960,5702,5654,5825
LINC00290,1,0,1,0,0,0
LOC101928679,2,0,1,2,1,4
LOC101928703,20,31,13,53,71,63
MGC45800,1703,1751,1264,1994,1847,2047
TENM3,16940,15525,18240,15065,14351,15688
MIR1305,0,0,0,0,0,0
DCTD,6785,6292,4084,6734,6292,6751
LURAP1,454,475,321,294,304,379
FAM92A1P2,5,15,6,16,10,23
WWC2-AS2,264,265,152,403,421,376
WWC2,25971,24856,16225,29953,28827,31596
LOC101928734,4,4,0,1,0,2
CLDN22,0,0,0,0,0,0
CLDN24,6,9,3,3,8,11
CDKN2AIP,3970,3678,2253,3100,3106,3256
RAD54L,4117,4371,3659,3191,2923,3240
VTI1BP2,15,8,15,13,8,11
LOC389247,29,31,22,60,41,29
