Gene,12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq_REPLICANT.3,24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq_REPLICANT.3
DDX11L1,44,77,47,67,65,54
WASH7P,1532,1630,1644,2719,1715,1987
LOC100996442,283,240,239,129,92,121
LOC101929017,236,246,186,201,165,166
MMACHC,1332,1353,1408,1791,1246,1240
FGA,1,3,1,0,0,2
FGG,16,21,18,0,0,0
LOC101927965,54,53,47,30,15,23
LRAT,27726,29107,30256,9775,5905,7210
RBM46,141,150,137,85,57,59
NPY2R,76,81,89,29,17,14
MAP9,3147,3484,3582,4377,3378,3496
PRDX1,72842,79817,88348,76783,62449,54241
GUCY1A3,6,7,11,2,1,1
GUCY1B3,283,282,360,411,287,370
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,8,6,7,0,1,0
CTSO_variant1,170,183,193,314,266,242
LOC100505784,0,0,0,0,0,0
PDGFC,273,277,291,413,307,313
GLRB,41,49,34,128,100,85
GRIA2,6,4,3,0,1,0
LOC340017,0,1,1,0,1,0
FAM198B,24,28,24,3,1,2
LOC101928007,0,0,0,0,0,0
AKR1A1,13244,13845,15003,21965,15696,16337
TMEM144,771,883,876,1112,823,855
RXFP1,153,159,143,59,45,43
C4orf46,4560,4967,5262,9513,7234,6821
ETFDH,1032,985,1095,1995,1447,1415
PPID,8392,9091,9798,8501,6519,6219
FNIP2,2306,2315,2498,2900,1629,2219
LOC101928028,0,0,0,0,0,0
C4orf45,1,3,1,1,1,2
NASP,64763,66989,67189,73015,27754,67472
PSME2P3,0,1,1,1,1,2
FABP5P12,0,0,0,0,0,0
RAPGEF2,9183,9397,9718,13649,9437,9719
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,53,61,74,24,26,21
LOC101928052,1,1,0,0,0,0
CCDC17,164,154,112,306,186,297
MIR4454,0,0,0,0,0,0
LOC101928081,106,124,92,46,30,41
NAF1,885,847,827,2095,1159,1597
NPY1R,1317,1369,1624,1309,1145,994
NPY5R,276,307,298,225,192,182
TKTL2,4,3,3,1,1,0
TMA16,5084,5654,6027,5902,4615,4646
MARCH1,1049,1164,1084,927,854,694
GPBP1L1,13166,13841,14438,25573,18688,18559
ANP32C,0,2,0,0,0,0
LOC100505989,109,100,82,60,38,52
LOC100506013,4529,5172,5406,7577,5659,5414
RPL26P16,0,1,0,5,6,4
LOC101059914,1,2,1,0,1,1
RPS15AP10,85,89,70,78,64,72
NACA3P,2,1,0,0,0,2
TRIM61,1333,1427,1556,1660,1129,1158
FAM218A,434,483,505,375,332,286
RPL21P51,11,11,18,17,28,10
TRIM60,5,8,1,2,0,3
RPL7AP16,86,100,89,141,81,147
TMEM192,1924,1932,2162,2486,1546,1882
KLHL2,1903,2145,2085,1905,1267,1458
GK3P,73,55,59,19,10,13
MSMO1,14294,15575,17185,10432,8504,6982
CPE,1823,1981,2106,3634,2921,2797
MIR578,0,0,0,0,0,0
HADHAP1,68,80,44,5,6,6
LOC402191,0,0,0,0,0,0
TMEM69,2241,2417,2594,5346,4115,3420
LOC101928151,94,117,103,77,43,67
LOC101928131,25,32,28,21,12,14
TLL1,129,110,129,28,24,28
SPOCK3,48,62,39,21,15,30
ANXA10,1,7,4,0,0,0
