Gene,3hrs.RNASeq_REPLICANT.1,3hrs.RNASeq_REPLICANT.2,3hrs.RNASeq_REPLICANT.3,12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq_REPLICANT.3
DDX11L1,31,28,21,44,77,47
WASH7P,947,1572,1112,1532,1630,1644
LOC100996442,82,74,45,283,240,239
LOC101929017,89,141,90,236,246,186
MMACHC,943,1417,1112,1332,1353,1408
FGA,0,0,0,1,3,1
FGG,2,7,2,16,21,18
LOC101927965,6,17,31,54,53,47
LRAT,3772,5977,7179,27726,29107,30256
RBM46,31,38,38,141,150,137
NPY2R,125,151,123,76,81,89
MAP9,2666,3339,4178,3147,3484,3582
PRDX1,64217,92595,65435,72842,79817,88348
GUCY1A3,3,0,1,6,7,11
GUCY1B3,137,207,252,283,282,360
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,1,0,0,8,6,7
CTSO_variant1,63,80,58,170,183,193
LOC100505784,0,0,0,0,0,0
PDGFC,232,323,262,273,277,291
GLRB,34,51,43,41,49,34
GRIA2,32,3,1,6,4,3
LOC340017,0,0,1,0,1,1
FAM198B,1,1,0,24,28,24
LOC101928007,0,0,0,0,0,0
AKR1A1,8083,12644,9071,13244,13845,15003
TMEM144,451,599,570,771,883,876
RXFP1,40,53,37,153,159,143
C4orf46,3483,4992,4349,4560,4967,5262
ETFDH,1116,1552,1387,1032,985,1095
PPID,5245,7514,6816,8392,9091,9798
FNIP2,1488,2251,2644,2306,2315,2498
LOC101928028,0,0,0,0,0,0
C4orf45,1,1,1,1,3,1
NASP,10305,22361,61625,64763,66989,67189
PSME2P3,1,0,0,0,1,1
FABP5P12,1,0,0,0,0,0
RAPGEF2,7792,10918,9787,9183,9397,9718
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,34,47,41,53,61,74
LOC101928052,0,0,0,1,1,0
CCDC17,100,166,121,164,154,112
MIR4454,0,0,0,0,0,0
LOC101928081,27,28,39,106,124,92
NAF1,695,1261,1810,885,847,827
NPY1R,799,1079,874,1317,1369,1624
NPY5R,86,139,118,276,307,298
