Gene,0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq_REPLICANT.3,24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq_REPLICANT.3
DDX11L1,22,23,32,67,65,54
WASH7P,1686,1772,1403,2719,1715,1987
LOC100996442,115,124,130,129,92,121
LOC101929017,118,171,119,201,165,166
MMACHC,1746,1784,1512,1791,1246,1240
FGA,0,0,0,0,0,2
FGG,4,2,0,0,0,0
LOC101927965,44,44,39,30,15,23
LRAT,24852,22451,14291,9775,5905,7210
RBM46,101,112,79,85,57,59
NPY2R,40,30,22,29,17,14
MAP9,4148,3950,2290,4377,3378,3496
PRDX1,145380,134284,70966,76783,62449,54241
GUCY1A3,2,1,0,2,1,1
GUCY1B3,454,440,315,411,287,370
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,2,1,0,1,0
CTSO_variant1,67,63,34,314,266,242
LOC100505784,0,0,0,0,0,0
PDGFC,262,272,146,413,307,313
GLRB,71,77,45,128,100,85
GRIA2,0,1,1,0,1,0
LOC340017,0,1,0,0,1,0
FAM198B,2,4,0,3,1,2
LOC101928007,0,0,0,0,0,0
AKR1A1,18982,18252,10949,21965,15696,16337
TMEM144,480,340,201,1112,823,855
RXFP1,37,22,22,59,45,43
C4orf46,7558,6561,3807,9513,7234,6821
ETFDH,2372,2099,1464,1995,1447,1415
PPID,11060,10067,6208,8501,6519,6219
FNIP2,3180,2828,1972,2900,1629,2219
LOC101928028,0,0,0,0,0,0
C4orf45,0,1,1,1,1,2
NASP,120382,119390,96592,73015,27754,67472
PSME2P3,1,2,1,1,1,2
FABP5P12,0,0,0,0,0,0
RAPGEF2,12833,11535,8879,13649,9437,9719
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,46,64,32,24,26,21
LOC101928052,2,1,2,0,0,0
CCDC17,129,173,150,306,186,297
MIR4454,0,0,0,0,0,0
LOC101928081,57,67,40,46,30,41
NAF1,930,1051,1882,2095,1159,1597
NPY1R,3126,2853,1703,1309,1145,994
NPY5R,399,324,145,225,192,182
TKTL2,0,2,0,1,1,0
TMA16,8416,7558,4126,5902,4615,4646
MARCH1,426,454,298,927,854,694
GPBP1L1,21128,20177,13522,25573,18688,18559
ANP32C,0,0,1,0,0,0
LOC100505989,28,51,59,60,38,52
LOC100506013,15767,13725,7937,7577,5659,5414
RPL26P16,9,8,4,5,6,4
LOC101059914,2,3,0,0,1,1
RPS15AP10,60,70,76,78,64,72
NACA3P,1,1,2,0,0,2
TRIM61,1854,1844,1164,1660,1129,1158
FAM218A,228,246,155,375,332,286
RPL21P51,15,22,6,17,28,10
TRIM60,1,1,1,2,0,3
RPL7AP16,89,115,76,141,81,147
TMEM192,2248,2202,1525,2486,1546,1882
KLHL2,2066,1950,1139,1905,1267,1458
GK3P,19,8,10,19,10,13
MSMO1,41217,36076,20512,10432,8504,6982
CPE,3666,3334,1996,3634,2921,2797
MIR578,0,0,0,0,0,0
HADHAP1,11,9,8,5,6,6
LOC402191,0,0,0,0,0,0
TMEM69,5234,4651,3032,5346,4115,3420
LOC101928151,42,45,50,77,43,67
LOC101928131,19,15,14,21,12,14
TLL1,195,177,105,28,24,28
SPOCK3,30,31,12,21,15,30
ANXA10,8,2,3,0,0,0
DDX60,453,332,222,3184,2447,2297
DDX60L,49,31,35,837,643,604
LOC100506504,186,194,219,297,172,214
IPP,631,562,383,1642,933,1448
PALLD,3849,3627,2678,8244,3981,7107
RPL9P16,0,0,0,5,5,2
LOC101928172,53,81,51,54,41,35
CBR4,5406,5122,3105,6557,4636,5130
SH3RF1,3230,3013,2331,3131,1969,2377
RPL6P12,2,1,3,5,3,1
NEK1,2996,2916,2531,4143,2081,3446
CLCN3,9162,8711,5733,13227,7811,10450
RPL6P1,0,0,0,0,0,0
C4orf27,4220,3922,2283,4956,3364,3811
LOC100506085,226,289,227,269,138,194
MFAP3L,1462,1396,989,1136,890,788
LOC101928198,0,0,0,1,0,0
AADAT,909,979,700,860,535,677
LOC101928223,36,29,7,100,84,68
LOC100506107,0,0,0,0,0,0
MAST2,6435,6400,5863,6156,2626,4848
LOC100506122,0,2,2,0,0,0
LOC101929135,0,0,0,0,0,0
LOC101928288,84,105,33,64,43,49
LOC441052,15,10,7,9,3,2
GALNTL6,17,22,9,8,4,4
LOC101928314,1,0,0,0,0,0
GALNT7,21544,20137,14112,19509,11284,16092
MIR548T,0,0,0,0,0,0
HMGB2,30289,26992,16545,56305,41037,41350
TMA16P2,17,20,9,19,7,9
SAP30,2481,2407,1455,2139,1780,1683
LOC101928383,3,6,1,11,10,7
SCRG1,4,2,0,3,3,9
RPL5P11,3,0,0,3,2,2
LOC101928409,3,1,1,4,0,8
LOC101928439,0,0,0,0,0,0
HAND2,1,0,0,7,2,2
HAND2-AS1,0,0,0,0,0,1
PIK3R3,6913,6783,4512,8556,4584,6477
LOC101928478,1,1,1,4,5,3
LOC101928509,3,8,6,12,6,8
FBXO8,1013,919,539,1571,1188,1153
CEP44,3061,2889,1475,4770,3721,3713
MIR4276,0,0,0,0,0,0
HPGD,246,177,122,44,31,33
GLRA3,7,5,4,9,8,11
LOC101928551,3,2,4,6,8,6
ADAM29,1,2,1,3,1,4
LOC101929626,6,0,5,1,8,6
TSEN2P1,0,0,0,0,0,0
GPM6A,553,436,254,584,514,428
LOC101928590,2,0,0,0,0,0
WDR17,907,873,528,818,594,571
SPATA4,2,2,3,4,8,5
ASB5,1,0,0,10,9,9
TSPAN1,3,4,1,11,8,10
SPCS3,23500,20845,11545,25532,19399,18869
VEGFC,100,86,74,87,54,54
NEIL3,1847,1699,1065,1157,833,805
AGA,1448,1279,705,1590,1238,1144
LOC285500,0,3,1,10,2,6
LOC285501,2,1,0,0,0,0
LOC101928656,2,1,1,0,0,0
RPL19P8,2,0,0,1,0,2
POMGNT1,5759,5507,3960,8138,5706,5812
LINC00290,1,0,1,0,0,0
LOC101928679,2,0,1,0,0,0
LOC101928703,20,31,13,53,39,40
MGC45800,1703,1751,1264,2704,1962,1928
TENM3,16940,15525,18240,24311,12555,19404
MIR1305,0,0,0,0,0,0
DCTD,6785,6292,4084,6791,4512,5112
LURAP1,454,475,321,343,200,240
FAM92A1P2,5,15,6,17,8,9
WWC2-AS2,264,265,152,346,218,247
WWC2,25971,24856,16225,20360,12511,15438
LOC101928734,4,4,0,4,1,3
CLDN22,0,0,0,0,0,0
CLDN24,6,9,3,11,5,9
CDKN2AIP,3970,3678,2253,4114,2986,3292
RAD54L,4117,4371,3659,3297,1869,2491
VTI1BP2,15,8,15,15,10,14
LOC389247,29,31,22,43,26,23
ING2,2271,2302,1530,2002,1276,1835
RWDD4,5475,4756,2509,4394,3780,3079
TRAPPC11,8394,7636,4677,14187,10747,10166
LOC101928783,346,369,283,515,224,366
LOC101929169,16,17,12,50,46,51
STOX2,5091,4666,3633,1536,1039,998
ENPP6,45,53,25,36,23,21
C1orf86,3544,3623,2884,3337,1505,2770
LRRC41,7351,7094,4661,10802,7773,6972
LOC391722,5,4,2,6,0,0
LOC728175,6,3,7,14,12,11
IRF2,1172,1098,752,2689,1911,1821
CASP3,17562,15793,8617,9538,7457,6898
CCDC111,507,405,231,1065,855,781
MLF1IP,27476,24997,13837,18899,16563,13928
ACSL1,4619,4161,2508,437,211,310
SLED1,6,5,5,0,0,0
UQCRH,41935,39220,19903,29021,24277,20507
LOC731424,246,304,226,345,208,270
MIR3945,0,0,0,0,0,0
LOC100506229,0,0,0,0,0,0
MIR4455,0,0,0,0,0,0
LOC101928810,0,0,0,0,0,0
HELT,1,0,0,0,0,2
LOC101928877,0,0,0,1,1,0
LOC101928905,0,0,0,0,0,0
SLC25A4,8495,7925,5007,7776,5442,5760
KIAA1430,12201,11194,6310,14168,10947,10453
NSUN4,2112,1966,1631,1877,1117,1406
SNX25,3431,3358,2019,5448,4217,4142
LRP2BP,190,210,119,434,310,310
ANKRD37,65,73,39,384,235,241
UFSP2,5808,5286,3204,5657,4285,4026
C4orf47,111,114,80,843,568,538
CCDC110,602,529,349,804,519,663
PDLIM3,1280,1189,721,6494,5118,4935
SORBS2,5473,5361,4658,6974,4563,5376
LOC101928929,1,0,0,0,0,0
TLR3,312,295,199,346,298,237
FAAH,956,1090,725,1345,983,1022
FAM149A,1633,1593,1069,1899,1384,1397
FLJ38576,66,103,55,87,59,56
CYP4V2,858,1114,738,1168,853,916
KLKB1,3167,2900,1766,2034,1646,1500
F11,77,65,55,33,15,19
LOC285441,2,1,3,5,5,3
SLC25A5P6,1,0,0,0,1,0
MTNR1A,50,40,32,44,14,49
FAT1,71364,65013,47242,83938,55963,62682
LOC729041,10,17,11,34,25,24
LOC339975,9,14,4,11,4,6
LOC100652955,0,0,0,0,0,0
LOC100506272,0,0,0,0,0,0
ZFP42,57872,55004,33259,26897,21314,19561
TRIML2,3213,3227,2159,572,418,409
TRIML1,1,1,1,1,0,0
LOC101929651,2,2,3,8,8,6
RPL7AP27,0,0,1,0,0,0
LOC401164,209,193,115,294,238,199
HSP90AA4P,18,13,3,5,3,6
LOC101928971,0,0,0,0,0,0
FRG1_variant1,2409,2137,1254,2015,1775,1489
TUBB7P_variant1,0,0,0,0,0,0
DUX4L9_variant1,0,0,0,2,0,0
DMBX1,7,11,7,200,117,156
FRG2_variant2,0,0,0,0,0,0
DUX2_variant1,0,0,0,0,0,0
DUX4L7_variant2,0,0,0,0,0,0
DUX4L6_variant1,0,0,0,0,0,0
DUX4L5_variant2,0,0,0,0,0,0
DUX4L4_variant2,0,0,0,0,0,0
MKNK1-AS1,21,22,19,26,22,16
DUX4_variant1,0,0,0,0,0,0
DUX4L3_variant2,0,0,0,0,0,0
DUX4L2_variant1,0,0,0,0,0,0
MGC39584,3,4,4,9,4,11
LOC100996703,1,2,1,2,2,2
LOC101926992,0,1,0,0,0,0
MAFIP,2,5,2,1,1,0
PLEKHG4B,5214,5295,4329,9574,6212,6773
KNCN,1,2,1,0,1,1
LRRC14B,3,4,2,2,0,5
CCDC127,3161,2996,1880,3415,2477,2683
SDHA,11349,11046,7798,10750,6710,8761
PDCD6,11448,10335,6131,8924,7026,6786
LOC100421419,18,29,27,26,19,10
AHRR,161,137,115,382,260,246
LOC100310782,1,0,1,0,0,2
C5orf55,338,369,240,412,239,296
EXOC3,6190,6048,4116,5301,3327,4107
PP7080,1034,1031,730,1170,787,893
MKNK1,1280,1176,886,1467,873,1157
SLC9A3,67,100,56,208,108,171
LOC100288152,535,719,551,1445,962,1165
MIR4456,0,0,0,0,0,0
LOC100996325,5,5,9,4,5,6
