Gene,6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq_REPLICANT.3,24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq_REPLICANT.3
DDX11L1,53,65,48,67,65,54
WASH7P,1856,1627,1852,2719,1715,1987
LOC100996442,82,91,116,129,92,121
LOC101929017,149,147,170,201,165,166
MMACHC,1434,1360,1452,1791,1246,1240
FGA,0,1,0,0,0,2
FGG,2,3,5,0,0,0
LOC101927965,39,43,47,30,15,23
LRAT,22496,21524,25154,9775,5905,7210
RBM46,133,120,190,85,57,59
NPY2R,27,40,41,29,17,14
MAP9,4316,4053,4742,4377,3378,3496
PRDX1,100486,99970,104263,76783,62449,54241
GUCY1A3,2,2,0,2,1,1
GUCY1B3,669,657,715,411,287,370
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,1,2,0,1,0
CTSO_variant1,130,122,120,314,266,242
LOC100505784,0,0,0,0,0,0
PDGFC,581,525,652,413,307,313
GLRB,119,114,116,128,100,85
GRIA2,1,2,1,0,1,0
LOC340017,0,0,0,0,1,0
FAM198B,2,4,5,3,1,2
LOC101928007,0,0,0,0,0,0
AKR1A1,19106,18408,19432,21965,15696,16337
TMEM144,1240,1195,1309,1112,823,855
RXFP1,381,264,363,59,45,43
C4orf46,5951,5744,6727,9513,7234,6821
ETFDH,2055,2060,2290,1995,1447,1415
PPID,10160,10368,11077,8501,6519,6219
FNIP2,3300,3184,3540,2900,1629,2219
LOC101928028,0,0,0,0,0,0
C4orf45,2,0,1,1,1,2
NASP,109387,104532,103912,73015,27754,67472
PSME2P3,1,0,0,1,1,2
FABP5P12,0,0,0,0,0,0
RAPGEF2,9133,8905,10651,13649,9437,9719
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,145,172,185,24,26,21
LOC101928052,0,0,0,0,0,0
CCDC17,221,188,258,306,186,297
MIR4454,0,0,0,0,0,0
