Gene,0hrs.RNASeq_REPLICANT.1,0hrs.RNASeq_REPLICANT.2,0hrs.RNASeq_REPLICANT.3,3hrs.RNASeq_REPLICANT.1,3hrs.RNASeq_REPLICANT.2,3hrs.RNASeq_REPLICANT.3
DDX11L1,22,23,32,31,28,21
WASH7P,1686,1772,1403,947,1572,1112
LOC100996442,115,124,130,82,74,45
LOC101929017,118,171,119,89,141,90
MMACHC,1746,1784,1512,943,1417,1112
FGA,0,0,0,0,0,0
FGG,4,2,0,2,7,2
LOC101927965,44,44,39,6,17,31
LRAT,24852,22451,14291,3772,5977,7179
RBM46,101,112,79,31,38,38
NPY2R,40,30,22,125,151,123
MAP9,4148,3950,2290,2666,3339,4178
PRDX1,145380,134284,70966,64217,92595,65435
GUCY1A3,2,1,0,3,0,1
GUCY1B3,454,440,315,137,207,252
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,2,1,1,0,0
CTSO_variant1,67,63,34,63,80,58
LOC100505784,0,0,0,0,0,0
PDGFC,262,272,146,232,323,262
GLRB,71,77,45,34,51,43
GRIA2,0,1,1,32,3,1
LOC340017,0,1,0,0,0,1
FAM198B,2,4,0,1,1,0
LOC101928007,0,0,0,0,0,0
AKR1A1,18982,18252,10949,8083,12644,9071
TMEM144,480,340,201,451,599,570
RXFP1,37,22,22,40,53,37
C4orf46,7558,6561,3807,3483,4992,4349
ETFDH,2372,2099,1464,1116,1552,1387
PPID,11060,10067,6208,5245,7514,6816
FNIP2,3180,2828,1972,1488,2251,2644
LOC101928028,0,0,0,0,0,0
C4orf45,0,1,1,1,1,1
NASP,120382,119390,96592,10305,22361,61625
PSME2P3,1,2,1,1,0,0
FABP5P12,0,0,0,1,0,0
RAPGEF2,12833,11535,8879,7792,10918,9787
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,46,64,32,34,47,41
LOC101928052,2,1,2,0,0,0
CCDC17,129,173,150,100,166,121
MIR4454,0,0,0,0,0,0
LOC101928081,57,67,40,27,28,39
NAF1,930,1051,1882,695,1261,1810
NPY1R,3126,2853,1703,799,1079,874
NPY5R,399,324,145,86,139,118
TKTL2,0,2,0,0,1,1
TMA16,8416,7558,4126,3425,4754,4644
MARCH1,426,454,298,740,819,574
GPBP1L1,21128,20177,13522,9553,13717,11281
ANP32C,0,0,1,0,2,0
LOC100505989,28,51,59,17,53,33
LOC100506013,15767,13725,7937,12031,15537,12485
RPL26P16,9,8,4,5,3,2
LOC101059914,2,3,0,3,0,0
RPS15AP10,60,70,76,20,43,38
NACA3P,1,1,2,0,2,2
TRIM61,1854,1844,1164,847,1238,1211
FAM218A,228,246,155,236,282,223
RPL21P51,15,22,6,21,14,16
TRIM60,1,1,1,2,1,2
RPL7AP16,89,115,76,53,59,55
TMEM192,2248,2202,1525,1060,1555,1827
KLHL2,2066,1950,1139,1165,1783,1803
GK3P,19,8,10,13,12,10
MSMO1,41217,36076,20512,14331,18945,14521
CPE,3666,3334,1996,2059,2814,2337
MIR578,0,0,0,0,0,0
HADHAP1,11,9,8,9,8,9
LOC402191,0,0,0,0,0,0
TMEM69,5234,4651,3032,3072,4288,2672
LOC101928151,42,45,50,17,57,55
LOC101928131,19,15,14,7,18,10
TLL1,195,177,105,64,87,70
SPOCK3,30,31,12,18,9,12
ANXA10,8,2,3,0,5,2
DDX60,453,332,222,518,704,612
DDX60L,49,31,35,66,90,93
LOC100506504,186,194,219,114,161,123
IPP,631,562,383,278,378,562
PALLD,3849,3627,2678,5277,7896,12782
RPL9P16,0,0,0,0,5,1
LOC101928172,53,81,51,56,73,81
CBR4,5406,5122,3105,1713,2694,2963
SH3RF1,3230,3013,2331,1521,2477,2618
RPL6P12,2,1,3,2,5,0
NEK1,2996,2916,2531,1002,1498,3021
CLCN3,9162,8711,5733,4740,7430,8579
RPL6P1,0,0,0,0,0,0
C4orf27,4220,3922,2283,1125,1926,2291
LOC100506085,226,289,227,129,173,150
MFAP3L,1462,1396,989,811,1080,874
LOC101928198,0,0,0,0,0,1
AADAT,909,979,700,540,832,916
LOC101928223,36,29,7,16,25,30
LOC100506107,0,0,0,0,0,0
MAST2,6435,6400,5863,1895,3282,4434
LOC100506122,0,2,2,2,5,2
LOC101929135,0,0,0,0,0,0
LOC101928288,84,105,33,36,47,54
LOC441052,15,10,7,4,5,4
GALNTL6,17,22,9,6,9,14
LOC101928314,1,0,0,0,0,0
GALNT7,21544,20137,14112,8954,12709,17702
MIR548T,0,0,0,0,0,0
HMGB2,30289,26992,16545,22260,32179,27063
TMA16P2,17,20,9,7,12,12
SAP30,2481,2407,1455,911,1335,1122
LOC101928383,3,6,1,0,1,2
SCRG1,4,2,0,2,5,4
RPL5P11,3,0,0,0,1,0
LOC101928409,3,1,1,1,2,2
LOC101928439,0,0,0,0,0,0
HAND2,1,0,0,2,0,0
HAND2-AS1,0,0,0,0,0,1
PIK3R3,6913,6783,4512,1116,1808,2194
LOC101928478,1,1,1,0,2,1
LOC101928509,3,8,6,3,4,6
FBXO8,1013,919,539,628,836,637
CEP44,3061,2889,1475,1579,2176,2296
MIR4276,0,0,0,0,0,0
HPGD,246,177,122,62,95,85
GLRA3,7,5,4,5,8,4
LOC101928551,3,2,4,0,5,3
ADAM29,1,2,1,4,4,1
LOC101929626,6,0,5,2,1,1
TSEN2P1,0,0,0,0,0,0
GPM6A,553,436,254,219,253,214
LOC101928590,2,0,0,0,0,0
WDR17,907,873,528,577,686,722
SPATA4,2,2,3,5,4,2
ASB5,1,0,0,0,2,1
TSPAN1,3,4,1,1,5,5
SPCS3,23500,20845,11545,10516,13541,15407
VEGFC,100,86,74,65,112,96
NEIL3,1847,1699,1065,886,1289,1209
AGA,1448,1279,705,1160,1552,1094
LOC285500,0,3,1,1,3,0
LOC285501,2,1,0,1,2,0
LOC101928656,2,1,1,1,0,0
RPL19P8,2,0,0,1,0,0
POMGNT1,5759,5507,3960,3325,5329,3574
LINC00290,1,0,1,0,0,1
LOC101928679,2,0,1,1,1,2
LOC101928703,20,31,13,22,48,30
MGC45800,1703,1751,1264,816,1173,885
TENM3,16940,15525,18240,4678,8191,10881
MIR1305,0,0,0,0,0,0
DCTD,6785,6292,4084,3371,5325,4644
LURAP1,454,475,321,225,328,259
FAM92A1P2,5,15,6,5,6,6
WWC2-AS2,264,265,152,180,248,157
WWC2,25971,24856,16225,12837,18691,20251
LOC101928734,4,4,0,4,1,1
CLDN22,0,0,0,0,0,0
CLDN24,6,9,3,4,10,6
CDKN2AIP,3970,3678,2253,1405,2123,2512
RAD54L,4117,4371,3659,1322,2064,2265
VTI1BP2,15,8,15,9,8,2
LOC389247,29,31,22,9,26,16
ING2,2271,2302,1530,766,1089,1363
RWDD4,5475,4756,2509,3150,4051,3318
TRAPPC11,8394,7636,4677,4624,6746,5808
LOC101928783,346,369,283,129,222,197
LOC101929169,16,17,12,32,39,31
STOX2,5091,4666,3633,740,1093,989
ENPP6,45,53,25,8,32,41
C1orf86,3544,3623,2884,1005,1686,1845
LRRC41,7351,7094,4661,5071,7334,4084
LOC391722,5,4,2,5,2,3
LOC728175,6,3,7,3,5,5
IRF2,1172,1098,752,1053,1513,1104
CASP3,17562,15793,8617,15744,21468,18655
CCDC111,507,405,231,324,424,454
MLF1IP,27476,24997,13837,16771,21840,17887
ACSL1,4619,4161,2508,500,722,893
SLED1,6,5,5,0,0,1
UQCRH,41935,39220,19903,19996,28742,19758
LOC731424,246,304,226,159,274,168
MIR3945,0,0,0,0,0,0
LOC100506229,0,0,0,0,0,0
MIR4455,0,0,0,0,0,0
LOC101928810,0,0,0,0,0,0
HELT,1,0,0,2,1,3
LOC101928877,0,0,0,0,0,0
LOC101928905,0,0,0,0,0,0
SLC25A4,8495,7925,5007,4612,7238,5898
KIAA1430,12201,11194,6310,7220,9542,9077
NSUN4,2112,1966,1631,839,1356,1278
SNX25,3431,3358,2019,2285,3129,2351
LRP2BP,190,210,119,100,147,120
ANKRD37,65,73,39,40,75,53
UFSP2,5808,5286,3204,2687,3847,3192
C4orf47,111,114,80,78,73,96
CCDC110,602,529,349,168,187,271
PDLIM3,1280,1189,721,1411,1858,1408
SORBS2,5473,5361,4658,1265,1856,1834
LOC101928929,1,0,0,0,0,0
TLR3,312,295,199,171,196,177
FAAH,956,1090,725,493,788,527
FAM149A,1633,1593,1069,759,1037,767
FLJ38576,66,103,55,25,59,47
CYP4V2,858,1114,738,630,898,694
KLKB1,3167,2900,1766,925,1310,986
F11,77,65,55,16,23,25
LOC285441,2,1,3,1,3,3
SLC25A5P6,1,0,0,0,0,0
MTNR1A,50,40,32,17,22,32
FAT1,71364,65013,47242,35930,51016,42049
LOC729041,10,17,11,11,5,12
LOC339975,9,14,4,6,4,5
LOC100652955,0,0,0,0,0,0
LOC100506272,0,0,0,0,0,0
ZFP42,57872,55004,33259,24394,33685,25465
TRIML2,3213,3227,2159,970,1306,942
TRIML1,1,1,1,1,0,0
LOC101929651,2,2,3,1,5,2
RPL7AP27,0,0,1,1,0,0
LOC401164,209,193,115,113,160,106
HSP90AA4P,18,13,3,2,2,15
LOC101928971,0,0,0,2,0,0
FRG1_variant1,2409,2137,1254,1296,1794,1350
TUBB7P_variant1,0,0,0,0,0,0
DUX4L9_variant1,0,0,0,0,0,1
DMBX1,7,11,7,0,7,6
FRG2_variant2,0,0,0,0,0,0
DUX2_variant1,0,0,0,0,0,0
DUX4L7_variant2,0,0,0,0,0,0
DUX4L6_variant1,0,0,0,0,0,0
DUX4L5_variant2,0,0,0,0,0,0
DUX4L4_variant2,0,0,0,0,0,0
MKNK1-AS1,21,22,19,15,13,21
DUX4_variant1,0,0,0,0,0,0
DUX4L3_variant2,0,0,0,0,0,0
DUX4L2_variant1,0,0,0,0,0,0
MGC39584,3,4,4,0,4,3
LOC100996703,1,2,1,1,0,0
LOC101926992,0,1,0,0,0,0
