Gene,12hrs.RNASeq_REPLICANT.1,12hrs.RNASeq_REPLICANT.2,12hrs.RNASeq_REPLICANT.3,48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq_REPLICANT.3
DDX11L1,44,77,47,56,95,64
WASH7P,1532,1630,1644,1813,2390,1855
LOC100996442,283,240,239,128,245,160
LOC101929017,236,246,186,153,265,195
MMACHC,1332,1353,1408,1232,2054,1491
FGA,1,3,1,1,1,0
FGG,16,21,18,24,28,21
LOC101927965,54,53,47,50,53,47
LRAT,27726,29107,30256,35323,53138,31433
RBM46,141,150,137,135,214,144
NPY2R,76,81,89,65,82,40
MAP9,3147,3484,3582,5817,8637,5356
PRDX1,72842,79817,88348,121580,160911,74597
GUCY1A3,6,7,11,5,4,2
GUCY1B3,283,282,360,660,822,749
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,8,6,7,7,9,2
CTSO_variant1,170,183,193,284,438,286
LOC100505784,0,0,0,0,0,0
PDGFC,273,277,291,501,830,421
GLRB,41,49,34,32,55,22
GRIA2,6,4,3,8,6,3
LOC340017,0,1,1,0,1,0
FAM198B,24,28,24,28,49,23
LOC101928007,0,0,0,0,0,0
AKR1A1,13244,13845,15003,17007,21056,10675
TMEM144,771,883,876,1021,1681,854
RXFP1,153,159,143,154,262,137
C4orf46,4560,4967,5262,7145,11151,6389
ETFDH,1032,985,1095,1257,1639,1099
PPID,8392,9091,9798,14082,19920,13610
FNIP2,2306,2315,2498,5320,7874,4854
LOC101928028,0,0,0,0,0,0
C4orf45,1,3,1,4,1,1
NASP,64763,66989,67189,92134,114922,116437
PSME2P3,0,1,1,3,2,1
FABP5P12,0,0,0,1,0,1
RAPGEF2,9183,9397,9718,17145,26359,17914
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,53,61,74,81,92,34
LOC101928052,1,1,0,0,2,0
CCDC17,164,154,112,142,244,202
MIR4454,0,0,0,0,0,0
LOC101928081,106,124,92,69,141,105
NAF1,885,847,827,1357,4662,3086
NPY1R,1317,1369,1624,1981,3127,1762
NPY5R,276,307,298,197,313,176
TKTL2,4,3,3,3,1,0
TMA16,5084,5654,6027,8245,12673,7198
MARCH1,1049,1164,1084,853,1772,972
GPBP1L1,13166,13841,14438,19165,29970,18021
ANP32C,0,2,0,2,0,1
LOC100505989,109,100,82,71,93,93
LOC100506013,4529,5172,5406,14274,23483,12653
RPL26P16,0,1,0,3,1,0
LOC101059914,1,2,1,0,0,0
RPS15AP10,85,89,70,84,115,118
NACA3P,2,1,0,5,0,0
TRIM61,1333,1427,1556,2379,3258,2059
FAM218A,434,483,505,350,521,337
RPL21P51,11,11,18,11,19,5
TRIM60,5,8,1,3,5,3
RPL7AP16,86,100,89,100,163,99
TMEM192,1924,1932,2162,2682,3857,2731
KLHL2,1903,2145,2085,3008,4306,2465
GK3P,73,55,59,27,60,33
MSMO1,14294,15575,17185,22457,33612,17474
CPE,1823,1981,2106,3180,4538,2689
MIR578,0,0,0,0,0,0
HADHAP1,68,80,44,29,44,19
LOC402191,0,0,0,0,0,0
TMEM69,2241,2417,2594,2678,4121,2953
LOC101928151,94,117,103,73,125,83
LOC101928131,25,32,28,29,40,32
TLL1,129,110,129,104,182,111
SPOCK3,48,62,39,48,93,49
ANXA10,1,7,4,8,9,6
DDX60,1293,1441,1543,2116,3036,1450
DDX60L,133,164,154,150,223,161
LOC100506504,224,218,169,172,311,251
IPP,572,560,627,717,915,567
PALLD,6394,6425,6384,16499,22014,15794
RPL9P16,2,5,4,3,2,0
LOC101928172,107,129,90,105,144,98
CBR4,4341,4723,4948,5394,8036,4748
SH3RF1,3514,3442,3440,4854,7150,4846
RPL6P12,5,8,6,1,8,2
NEK1,2905,2990,3034,4093,6106,4627
CLCN3,11907,12449,13289,18002,24493,15429
RPL6P1,0,1,0,0,0,0
C4orf27,2387,2723,2942,3820,5246,3314
LOC100506085,463,410,371,319,519,484
MFAP3L,645,688,687,706,1134,619
LOC101928198,0,1,0,0,0,0
AADAT,1000,971,1145,1670,2400,1660
LOC101928223,86,93,103,130,166,90
LOC100506107,0,0,0,0,1,0
MAST2,3313,3262,3081,5958,7688,6804
LOC100506122,3,4,5,16,24,27
LOC101929135,0,0,0,0,0,0
LOC101928288,73,65,85,78,81,18
LOC441052,12,22,30,19,27,13
GALNTL6,20,23,23,40,32,9
LOC101928314,0,0,0,0,0,0
GALNT7,12612,13698,14606,21011,28167,19553
MIR548T,0,0,0,0,0,0
HMGB2,42017,47482,48796,86344,123632,85386
TMA16P2,16,19,20,25,31,16
SAP30,1152,1151,1250,1361,1942,1195
LOC101928383,2,6,5,4,5,3
SCRG1,1,3,1,6,5,7
RPL5P11,2,3,1,2,0,2
LOC101928409,0,1,2,3,3,1
LOC101928439,0,2,0,0,0,0
HAND2,15,11,7,3,6,6
HAND2-AS1,2,2,2,0,0,1
PIK3R3,3454,3568,3704,6385,7994,5543
LOC101928478,1,0,1,4,1,1
LOC101928509,26,11,16,7,8,11
FBXO8,1007,1123,1160,1440,2111,1082
CEP44,3294,3659,4008,5072,7164,3162
MIR4276,0,0,0,0,0,0
HPGD,57,60,60,162,239,130
GLRA3,28,16,23,25,35,20
LOC101928551,7,13,8,4,8,12
ADAM29,2,0,1,2,2,0
LOC101929626,9,7,6,7,5,6
TSEN2P1,0,0,0,0,0,0
GPM6A,362,409,447,393,654,340
LOC101928590,1,0,1,1,1,0
WDR17,825,884,849,1090,1579,937
SPATA4,2,0,4,4,0,0
ASB5,6,1,3,1,3,4
TSPAN1,12,11,9,12,17,14
SPCS3,17697,19384,20281,28066,44114,22706
VEGFC,87,86,97,154,207,141
NEIL3,1029,1165,1204,1904,2804,1632
AGA,1423,1407,1575,2093,2851,1628
LOC285500,1,1,5,6,2,1
LOC285501,2,2,2,0,2,1
LOC101928656,1,2,0,1,2,1
RPL19P8,1,0,2,3,0,2
POMGNT1,3422,3647,3987,4399,6051,3866
LINC00290,0,0,0,0,0,0
LOC101928679,4,10,6,4,11,14
LOC101928703,38,39,24,20,27,21
MGC45800,1070,966,1034,1405,2058,1339
TENM3,8576,8378,8148,6265,10793,9023
MIR1305,0,0,0,0,0,0
DCTD,5404,5669,6278,9167,12114,6557
LURAP1,123,105,115,156,228,188
FAM92A1P2,38,39,41,14,27,10
WWC2-AS2,644,653,647,374,613,283
WWC2,23036,24050,24536,30563,44318,28057
LOC101928734,2,10,5,4,2,1
CLDN22,0,0,0,0,0,0
CLDN24,43,28,27,20,30,26
CDKN2AIP,3954,4334,4467,5095,7240,3837
RAD54L,2310,2244,2232,3146,4762,3270
VTI1BP2,5,13,14,10,20,18
LOC389247,41,44,39,23,44,31
ING2,1129,1252,1213,2597,3247,2772
RWDD4,3195,3630,3905,5170,7994,4529
TRAPPC11,5979,6295,6881,8571,12353,6886
LOC101928783,569,486,509,450,596,361
LOC101929169,25,23,22,13,10,8
STOX2,4276,4372,4475,2383,4045,2658
ENPP6,130,133,179,83,131,74
C1orf86,3460,3392,3348,3674,4520,3446
LRRC41,3784,3700,4149,4406,6493,3748
LOC391722,0,1,2,2,3,2
LOC728175,19,12,14,12,13,12
IRF2,562,531,551,977,1475,1107
CASP3,16870,17939,20443,51090,69386,33879
CCDC111,515,599,638,574,807,433
MLF1IP,13934,15292,16359,24487,36195,19668
ACSL1,1717,1708,2065,1709,2283,1284
SLED1,6,2,0,1,2,1
UQCRH,21959,23994,26793,33577,45315,23496
LOC731424,667,588,623,442,603,524
MIR3945,0,0,0,0,0,0
LOC100506229,0,3,0,0,0,1
MIR4455,0,0,0,0,0,0
LOC101928810,1,0,0,0,0,0
HELT,1,2,6,2,2,3
LOC101928877,1,1,1,0,0,0
LOC101928905,0,0,0,0,0,1
SLC25A4,4239,4624,4763,7010,9566,5355
KIAA1430,8935,10139,10609,12199,19147,11071
NSUN4,1542,1623,1586,2762,4310,2686
SNX25,1942,2129,2241,2542,3561,2149
LRP2BP,282,309,303,276,438,323
ANKRD37,98,85,103,119,134,58
