Gene,6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq_REPLICANT.3,48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq_REPLICANT.3
DDX11L1,53,65,48,56,95,64
WASH7P,1856,1627,1852,1813,2390,1855
LOC100996442,82,91,116,128,245,160
LOC101929017,149,147,170,153,265,195
MMACHC,1434,1360,1452,1232,2054,1491
FGA,0,1,0,1,1,0
FGG,2,3,5,24,28,21
LOC101927965,39,43,47,50,53,47
LRAT,22496,21524,25154,35323,53138,31433
RBM46,133,120,190,135,214,144
NPY2R,27,40,41,65,82,40
MAP9,4316,4053,4742,5817,8637,5356
PRDX1,100486,99970,104263,121580,160911,74597
GUCY1A3,2,2,0,5,4,2
GUCY1B3,669,657,715,660,822,749
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,1,2,7,9,2
CTSO_variant1,130,122,120,284,438,286
LOC100505784,0,0,0,0,0,0
PDGFC,581,525,652,501,830,421
GLRB,119,114,116,32,55,22
GRIA2,1,2,1,8,6,3
LOC340017,0,0,0,0,1,0
FAM198B,2,4,5,28,49,23
LOC101928007,0,0,0,0,0,0
AKR1A1,19106,18408,19432,17007,21056,10675
TMEM144,1240,1195,1309,1021,1681,854
RXFP1,381,264,363,154,262,137
C4orf46,5951,5744,6727,7145,11151,6389
ETFDH,2055,2060,2290,1257,1639,1099
PPID,10160,10368,11077,14082,19920,13610
FNIP2,3300,3184,3540,5320,7874,4854
LOC101928028,0,0,0,0,0,0
C4orf45,2,0,1,4,1,1
NASP,109387,104532,103912,92134,114922,116437
PSME2P3,1,0,0,3,2,1
FABP5P12,0,0,0,1,0,1
RAPGEF2,9133,8905,10651,17145,26359,17914
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,145,172,185,81,92,34
LOC101928052,0,0,0,0,2,0
CCDC17,221,188,258,142,244,202
MIR4454,0,0,0,0,0,0
LOC101928081,37,20,37,69,141,105
NAF1,899,833,869,1357,4662,3086
NPY1R,870,808,838,1981,3127,1762
NPY5R,125,125,131,197,313,176
TKTL2,0,1,3,3,1,0
TMA16,6028,6193,6740,8245,12673,7198
MARCH1,554,473,854,853,1772,972
GPBP1L1,22188,21391,23213,19165,29970,18021
ANP32C,0,1,0,2,0,1
LOC100505989,45,38,48,71,93,93
LOC100506013,25612,25695,28336,14274,23483,12653
RPL26P16,15,3,8,3,1,0
LOC101059914,7,2,0,0,0,0
RPS15AP10,86,77,82,84,115,118
NACA3P,1,3,0,5,0,0
TRIM61,1335,1299,1481,2379,3258,2059
FAM218A,446,393,506,350,521,337
RPL21P51,20,21,19,11,19,5
TRIM60,3,3,2,3,5,3
RPL7AP16,85,91,124,100,163,99
TMEM192,2508,2418,2595,2682,3857,2731
KLHL2,2304,2175,2211,3008,4306,2465
GK3P,16,24,24,27,60,33
MSMO1,11530,11462,12826,22457,33612,17474
CPE,4555,4462,4790,3180,4538,2689
MIR578,0,0,0,0,0,0
HADHAP1,9,12,6,29,44,19
LOC402191,0,0,0,0,0,0
TMEM69,4003,3650,4241,2678,4121,2953
LOC101928151,62,59,66,73,125,83
LOC101928131,16,22,18,29,40,32
TLL1,96,108,104,104,182,111
SPOCK3,72,79,63,48,93,49
ANXA10,1,0,2,8,9,6
DDX60,2099,2020,2234,2116,3036,1450
DDX60L,451,456,464,150,223,161
LOC100506504,190,161,199,172,311,251
IPP,1238,1159,1328,717,915,567
PALLD,11744,11172,11885,16499,22014,15794
RPL9P16,4,3,2,3,2,0
LOC101928172,57,55,63,105,144,98
CBR4,6975,6554,7416,5394,8036,4748
SH3RF1,2831,2769,2882,4854,7150,4846
RPL6P12,0,0,2,1,8,2
NEK1,4396,4132,4554,4093,6106,4627
CLCN3,13831,13449,14222,18002,24493,15429
RPL6P1,0,0,0,0,0,0
C4orf27,5577,5246,5843,3820,5246,3314
LOC100506085,293,308,292,319,519,484
MFAP3L,1130,1085,1171,706,1134,619
LOC101928198,0,0,0,0,0,0
AADAT,1059,961,1130,1670,2400,1660
LOC101928223,84,66,90,130,166,90
LOC100506107,0,0,0,0,1,0
MAST2,5668,5367,5846,5958,7688,6804
LOC100506122,5,0,3,16,24,27
LOC101929135,0,0,0,0,0,0
LOC101928288,69,66,51,78,81,18
LOC441052,1,6,8,19,27,13
GALNTL6,11,5,12,40,32,9
LOC101928314,0,0,0,0,0,0
GALNT7,17613,17581,19893,21011,28167,19553
MIR548T,0,0,0,0,0,0
HMGB2,59662,59286,61935,86344,123632,85386
TMA16P2,11,18,16,25,31,16
SAP30,2144,2157,2009,1361,1942,1195
LOC101928383,4,8,6,4,5,3
SCRG1,2,0,4,6,5,7
RPL5P11,2,1,1,2,0,2
LOC101928409,2,3,2,3,3,1
LOC101928439,0,0,0,0,0,0
HAND2,2,0,2,3,6,6
HAND2-AS1,0,0,0,0,0,1
PIK3R3,4663,4458,4801,6385,7994,5543
LOC101928478,6,6,4,4,1,1
LOC101928509,9,9,7,7,8,11
FBXO8,1334,1256,1371,1440,2111,1082
CEP44,4813,4401,5002,5072,7164,3162
MIR4276,0,0,0,0,0,0
HPGD,119,137,137,162,239,130
GLRA3,10,11,19,25,35,20
LOC101928551,8,6,6,4,8,12
ADAM29,2,5,3,2,2,0
LOC101929626,3,2,2,7,5,6
TSEN2P1,0,0,0,0,0,0
GPM6A,923,824,975,393,654,340
LOC101928590,0,0,1,1,1,0
WDR17,1003,1018,1188,1090,1579,937
SPATA4,4,3,5,4,0,0
ASB5,1,1,2,1,3,4
TSPAN1,8,7,16,12,17,14
SPCS3,21437,21313,24874,28066,44114,22706
VEGFC,111,112,90,154,207,141
NEIL3,1698,1716,1826,1904,2804,1632
AGA,1742,1730,1828,2093,2851,1628
LOC285500,2,3,6,6,2,1
LOC285501,0,0,0,0,2,1
LOC101928656,0,0,0,1,2,1
RPL19P8,1,0,1,3,0,2
POMGNT1,5702,5654,5825,4399,6051,3866
LINC00290,0,0,0,0,0,0
LOC101928679,2,1,4,4,11,14
LOC101928703,53,71,63,20,27,21
MGC45800,1994,1847,2047,1405,2058,1339
TENM3,15065,14351,15688,6265,10793,9023
MIR1305,0,0,0,0,0,0
DCTD,6734,6292,6751,9167,12114,6557
LURAP1,294,304,379,156,228,188
FAM92A1P2,16,10,23,14,27,10
WWC2-AS2,403,421,376,374,613,283
WWC2,29953,28827,31596,30563,44318,28057
LOC101928734,1,0,2,4,2,1
CLDN22,0,0,0,0,0,0
CLDN24,3,8,11,20,30,26
CDKN2AIP,3100,3106,3256,5095,7240,3837
RAD54L,3191,2923,3240,3146,4762,3270
VTI1BP2,13,8,11,10,20,18
LOC389247,60,41,29,23,44,31
ING2,2255,2239,2266,2597,3247,2772
RWDD4,4572,4670,5069,5170,7994,4529
TRAPPC11,12449,12152,12882,8571,12353,6886
LOC101928783,371,349,410,450,596,361
LOC101929169,99,93,81,13,10,8
STOX2,1728,1724,1939,2383,4045,2658
ENPP6,35,40,52,83,131,74
C1orf86,3225,3021,2922,3674,4520,3446
LRRC41,7603,7081,7637,4406,6493,3748
LOC391722,1,3,0,2,3,2
LOC728175,9,19,18,12,13,12
IRF2,1995,2028,2206,977,1475,1107
CASP3,12636,12752,13883,51090,69386,33879
CCDC111,1133,1106,1113,574,807,433
MLF1IP,21774,20970,22636,24487,36195,19668
ACSL1,1235,1171,1264,1709,2283,1284
SLED1,1,0,0,1,2,1
UQCRH,30951,31006,32317,33577,45315,23496
LOC731424,273,262,226,442,603,524
MIR3945,0,0,0,0,0,0
LOC100506229,0,0,0,0,0,1
MIR4455,0,0,0,0,0,0
LOC101928810,0,0,0,0,0,0
HELT,4,5,7,2,2,3
LOC101928877,0,0,0,0,0,0
LOC101928905,0,0,0,0,0,1
SLC25A4,7862,7659,8078,7010,9566,5355
KIAA1430,15461,14936,16366,12199,19147,11071
NSUN4,1554,1399,1535,2762,4310,2686
SNX25,4698,4454,4571,2542,3561,2149
LRP2BP,328,280,366,276,438,323
ANKRD37,283,228,256,119,134,58
UFSP2,5551,5594,6118,4636,6352,3841
C4orf47,338,281,345,332,489,344
CCDC110,727,613,708,216,373,248
PDLIM3,2576,2572,2836,1115,1816,1073
SORBS2,1365,1443,1503,1859,3002,2385
LOC101928929,0,0,0,0,0,0
TLR3,287,263,319,154,200,100
FAAH,886,772,934,865,1105,717
FAM149A,1981,1834,2039,803,1126,762
FLJ38576,197,182,212,86,129,76
CYP4V2,1258,1120,1160,1574,2492,1688
KLKB1,2288,2308,2418,1940,2650,1483
F11,61,62,60,47,63,41
LOC285441,15,9,10,4,1,1
SLC25A5P6,0,1,0,2,1,0
MTNR1A,134,131,110,50,63,72
FAT1,56638,55042,67751,67837,102623,69942
LOC729041,27,42,29,9,26,14
LOC339975,9,4,4,7,7,4
LOC100652955,0,0,0,0,0,0
LOC100506272,0,0,0,0,0,0
ZFP42,27987,27943,29707,55483,79150,45845
TRIML2,1125,1178,1286,7531,10488,7156
TRIML1,0,0,0,0,2,0
LOC101929651,3,1,3,0,5,0
RPL7AP27,1,0,0,1,1,0
LOC401164,209,238,249,188,250,170
HSP90AA4P,11,23,12,13,17,13
LOC101928971,0,0,0,0,0,0
FRG1_variant1,2189,2259,2407,3031,4339,3177
TUBB7P_variant1,0,0,0,0,0,0
DUX4L9_variant1,4,2,0,1,0,0
DMBX1,10,3,10,5,7,5
FRG2_variant2,0,0,0,0,0,0
DUX2_variant1,0,0,0,0,0,0
DUX4L7_variant2,0,0,0,0,0,0
DUX4L6_variant1,0,0,0,0,0,0
DUX4L5_variant2,0,0,0,0,0,0
DUX4L4_variant2,0,0,0,0,0,0
MKNK1-AS1,29,24,42,7,11,9
DUX4_variant1,0,0,0,0,0,0
DUX4L3_variant2,0,0,0,0,0,0
DUX4L2_variant1,0,0,0,0,0,0
MGC39584,11,5,9,4,2,2
LOC100996703,3,0,3,1,1,1
LOC101926992,1,0,0,0,0,0
MAFIP,4,3,0,0,4,3
PLEKHG4B,11415,9953,11139,4024,6275,4626
KNCN,1,0,0,0,2,0
LRRC14B,2,2,8,1,4,1
CCDC127,3042,2973,3144,3148,4319,2530
SDHA,17107,16402,16921,8824,11148,7857
