Gene,48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq_REPLICANT.3,72hrs.RNASeq_REPLICANT.1,72hrs.RNASeq_REPLICANT.2,72hrs.RNASeq_REPLICANT.3
DDX11L1,56,95,64,109,119,84
WASH7P,1813,2390,1855,3004,2444,2379
LOC100996442,128,245,160,128,65,96
LOC101929017,153,265,195,203,158,162
MMACHC,1232,2054,1491,1884,1587,1540
FGA,1,1,0,1,0,0
FGG,24,28,21,1,1,1
LOC101927965,50,53,47,28,18,23
LRAT,35323,53138,31433,6589,5666,5478
RBM46,135,214,144,92,79,59
NPY2R,65,82,40,125,107,126
MAP9,5817,8637,5356,4606,4573,4085
PRDX1,121580,160911,74597,67445,55866,61016
GUCY1A3,5,4,2,28,16,18
GUCY1B3,660,822,749,390,363,367
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,7,9,2,4,2,2
CTSO_variant1,284,438,286,287,256,223
LOC100505784,0,0,0,0,0,0
PDGFC,501,830,421,294,301,279
GLRB,32,55,22,277,214,209
GRIA2,8,6,3,0,3,0
LOC340017,0,1,0,0,0,0
FAM198B,28,49,23,1,0,0
LOC101928007,0,0,0,0,0,0
AKR1A1,17007,21056,10675,22790,18424,19729
TMEM144,1021,1681,854,666,593,582
RXFP1,154,262,137,1,3,5
C4orf46,7145,11151,6389,10321,9331,9184
ETFDH,1257,1639,1099,1696,1328,1411
PPID,14082,19920,13610,10540,9269,9583
FNIP2,5320,7874,4854,2549,2018,2067
LOC101928028,0,0,0,0,0,0
C4orf45,4,1,1,3,2,2
NASP,92134,114922,116437,130213,106489,114728
PSME2P3,3,2,1,3,0,1
FABP5P12,1,0,1,0,0,0
RAPGEF2,17145,26359,17914,14364,11861,11823
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,81,92,34,7,14,10
LOC101928052,0,2,0,0,0,0
CCDC17,142,244,202,199,185,143
MIR4454,0,0,0,0,0,0
LOC101928081,69,141,105,47,49,31
NAF1,1357,4662,3086,1045,930,1013
NPY1R,1981,3127,1762,1614,1558,1515
NPY5R,197,313,176,320,298,312
TKTL2,3,1,0,1,0,0
TMA16,8245,12673,7198,6616,6508,6089
MARCH1,853,1772,972,848,874,604
GPBP1L1,19165,29970,18021,27187,23891,23812
ANP32C,2,0,1,0,0,0
LOC100505989,71,93,93,55,41,48
LOC100506013,14274,23483,12653,976,913,893
RPL26P16,3,1,0,1,1,3
LOC101059914,0,0,0,0,0,0
RPS15AP10,84,115,118,136,99,90
NACA3P,5,0,0,2,3,2
TRIM61,2379,3258,2059,1639,1466,1436
FAM218A,350,521,337,510,508,428
RPL21P51,11,19,5,23,23,30
TRIM60,3,5,3,1,3,0
RPL7AP16,100,163,99,152,136,138
TMEM192,2682,3857,2731,3119,2786,2741
KLHL2,3008,4306,2465,2501,2217,2246
GK3P,27,60,33,27,24,21
MSMO1,22457,33612,17474,8290,7438,7574
CPE,3180,4538,2689,5922,5035,5106
MIR578,0,0,0,0,0,0
HADHAP1,29,44,19,7,3,8
LOC402191,0,0,0,0,0,0
TMEM69,2678,4121,2953,4812,4028,4047
LOC101928151,73,125,83,60,47,40
LOC101928131,29,40,32,8,14,15
TLL1,104,182,111,14,20,9
SPOCK3,48,93,49,21,21,18
ANXA10,8,9,6,0,0,0
DDX60,2116,3036,1450,3293,3103,2922
DDX60L,150,223,161,617,563,538
LOC100506504,172,311,251,308,237,213
IPP,717,915,567,1840,1640,1738
PALLD,16499,22014,15794,9416,8136,8010
RPL9P16,3,2,0,5,7,4
LOC101928172,105,144,98,46,45,41
CBR4,5394,8036,4748,7426,7267,7022
SH3RF1,4854,7150,4846,6298,5124,5332
RPL6P12,1,8,2,2,4,3
NEK1,4093,6106,4627,5555,4981,4869
CLCN3,18002,24493,15429,16166,14863,14627
RPL6P1,0,0,0,1,1,0
C4orf27,3820,5246,3314,7428,6824,7247
LOC100506085,319,519,484,123,98,93
MFAP3L,706,1134,619,2196,1931,1979
LOC101928198,0,0,0,1,0,0
