Gene,24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq_REPLICANT.3,48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq_REPLICANT.3
DDX11L1,67,65,54,56,95,64
WASH7P,2719,1715,1987,1813,2390,1855
LOC100996442,129,92,121,128,245,160
LOC101929017,201,165,166,153,265,195
MMACHC,1791,1246,1240,1232,2054,1491
FGA,0,0,2,1,1,0
FGG,0,0,0,24,28,21
LOC101927965,30,15,23,50,53,47
LRAT,9775,5905,7210,35323,53138,31433
RBM46,85,57,59,135,214,144
NPY2R,29,17,14,65,82,40
MAP9,4377,3378,3496,5817,8637,5356
PRDX1,76783,62449,54241,121580,160911,74597
GUCY1A3,2,1,1,5,4,2
GUCY1B3,411,287,370,660,822,749
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,0,1,0,7,9,2
CTSO_variant1,314,266,242,284,438,286
LOC100505784,0,0,0,0,0,0
PDGFC,413,307,313,501,830,421
GLRB,128,100,85,32,55,22
GRIA2,0,1,0,8,6,3
LOC340017,0,1,0,0,1,0
FAM198B,3,1,2,28,49,23
LOC101928007,0,0,0,0,0,0
AKR1A1,21965,15696,16337,17007,21056,10675
TMEM144,1112,823,855,1021,1681,854
RXFP1,59,45,43,154,262,137
C4orf46,9513,7234,6821,7145,11151,6389
ETFDH,1995,1447,1415,1257,1639,1099
PPID,8501,6519,6219,14082,19920,13610
FNIP2,2900,1629,2219,5320,7874,4854
LOC101928028,0,0,0,0,0,0
C4orf45,1,1,2,4,1,1
NASP,73015,27754,67472,92134,114922,116437
PSME2P3,1,1,2,3,2,1
FABP5P12,0,0,0,1,0,1
RAPGEF2,13649,9437,9719,17145,26359,17914
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,24,26,21,81,92,34
LOC101928052,0,0,0,0,2,0
CCDC17,306,186,297,142,244,202
MIR4454,0,0,0,0,0,0
LOC101928081,46,30,41,69,141,105
NAF1,2095,1159,1597,1357,4662,3086
NPY1R,1309,1145,994,1981,3127,1762
NPY5R,225,192,182,197,313,176
TKTL2,1,1,0,3,1,0
TMA16,5902,4615,4646,8245,12673,7198
MARCH1,927,854,694,853,1772,972
GPBP1L1,25573,18688,18559,19165,29970,18021
ANP32C,0,0,0,2,0,1
LOC100505989,60,38,52,71,93,93
LOC100506013,7577,5659,5414,14274,23483,12653
RPL26P16,5,6,4,3,1,0
LOC101059914,0,1,1,0,0,0
RPS15AP10,78,64,72,84,115,118
NACA3P,0,0,2,5,0,0
TRIM61,1660,1129,1158,2379,3258,2059
FAM218A,375,332,286,350,521,337
RPL21P51,17,28,10,11,19,5
TRIM60,2,0,3,3,5,3
RPL7AP16,141,81,147,100,163,99
TMEM192,2486,1546,1882,2682,3857,2731
KLHL2,1905,1267,1458,3008,4306,2465
GK3P,19,10,13,27,60,33
MSMO1,10432,8504,6982,22457,33612,17474
CPE,3634,2921,2797,3180,4538,2689
MIR578,0,0,0,0,0,0
HADHAP1,5,6,6,29,44,19
LOC402191,0,0,0,0,0,0
TMEM69,5346,4115,3420,2678,4121,2953
LOC101928151,77,43,67,73,125,83
LOC101928131,21,12,14,29,40,32
TLL1,28,24,28,104,182,111
SPOCK3,21,15,30,48,93,49
ANXA10,0,0,0,8,9,6
DDX60,3184,2447,2297,2116,3036,1450
DDX60L,837,643,604,150,223,161
LOC100506504,297,172,214,172,311,251
IPP,1642,933,1448,717,915,567
PALLD,8244,3981,7107,16499,22014,15794
RPL9P16,5,5,2,3,2,0
LOC101928172,54,41,35,105,144,98
CBR4,6557,4636,5130,5394,8036,4748
SH3RF1,3131,1969,2377,4854,7150,4846
RPL6P12,5,3,1,1,8,2
NEK1,4143,2081,3446,4093,6106,4627
CLCN3,13227,7811,10450,18002,24493,15429
RPL6P1,0,0,0,0,0,0
C4orf27,4956,3364,3811,3820,5246,3314
LOC100506085,269,138,194,319,519,484
MFAP3L,1136,890,788,706,1134,619
LOC101928198,1,0,0,0,0,0
AADAT,860,535,677,1670,2400,1660
LOC101928223,100,84,68,130,166,90
LOC100506107,0,0,0,0,1,0
MAST2,6156,2626,4848,5958,7688,6804
LOC100506122,0,0,0,16,24,27
LOC101929135,0,0,0,0,0,0
LOC101928288,64,43,49,78,81,18
LOC441052,9,3,2,19,27,13
GALNTL6,8,4,4,40,32,9
LOC101928314,0,0,0,0,0,0
GALNT7,19509,11284,16092,21011,28167,19553
MIR548T,0,0,0,0,0,0
HMGB2,56305,41037,41350,86344,123632,85386
TMA16P2,19,7,9,25,31,16
SAP30,2139,1780,1683,1361,1942,1195
LOC101928383,11,10,7,4,5,3
SCRG1,3,3,9,6,5,7
RPL5P11,3,2,2,2,0,2
LOC101928409,4,0,8,3,3,1
LOC101928439,0,0,0,0,0,0
HAND2,7,2,2,3,6,6
HAND2-AS1,0,0,1,0,0,1
PIK3R3,8556,4584,6477,6385,7994,5543
LOC101928478,4,5,3,4,1,1
LOC101928509,12,6,8,7,8,11
FBXO8,1571,1188,1153,1440,2111,1082
CEP44,4770,3721,3713,5072,7164,3162
MIR4276,0,0,0,0,0,0
HPGD,44,31,33,162,239,130
GLRA3,9,8,11,25,35,20
LOC101928551,6,8,6,4,8,12
ADAM29,3,1,4,2,2,0
LOC101929626,1,8,6,7,5,6
TSEN2P1,0,0,0,0,0,0
GPM6A,584,514,428,393,654,340
LOC101928590,0,0,0,1,1,0
WDR17,818,594,571,1090,1579,937
SPATA4,4,8,5,4,0,0
ASB5,10,9,9,1,3,4
TSPAN1,11,8,10,12,17,14
SPCS3,25532,19399,18869,28066,44114,22706
VEGFC,87,54,54,154,207,141
NEIL3,1157,833,805,1904,2804,1632
AGA,1590,1238,1144,2093,2851,1628
LOC285500,10,2,6,6,2,1
LOC285501,0,0,0,0,2,1
LOC101928656,0,0,0,1,2,1
RPL19P8,1,0,2,3,0,2
POMGNT1,8138,5706,5812,4399,6051,3866
LINC00290,0,0,0,0,0,0
LOC101928679,0,0,0,4,11,14
LOC101928703,53,39,40,20,27,21
MGC45800,2704,1962,1928,1405,2058,1339
TENM3,24311,12555,19404,6265,10793,9023
MIR1305,0,0,0,0,0,0
DCTD,6791,4512,5112,9167,12114,6557
LURAP1,343,200,240,156,228,188
FAM92A1P2,17,8,9,14,27,10
WWC2-AS2,346,218,247,374,613,283
WWC2,20360,12511,15438,30563,44318,28057
LOC101928734,4,1,3,4,2,1
CLDN22,0,0,0,0,0,0
CLDN24,11,5,9,20,30,26
CDKN2AIP,4114,2986,3292,5095,7240,3837
RAD54L,3297,1869,2491,3146,4762,3270
VTI1BP2,15,10,14,10,20,18
LOC389247,43,26,23,23,44,31
ING2,2002,1276,1835,2597,3247,2772
RWDD4,4394,3780,3079,5170,7994,4529
TRAPPC11,14187,10747,10166,8571,12353,6886
LOC101928783,515,224,366,450,596,361
LOC101929169,50,46,51,13,10,8
STOX2,1536,1039,998,2383,4045,2658
ENPP6,36,23,21,83,131,74
C1orf86,3337,1505,2770,3674,4520,3446
LRRC41,10802,7773,6972,4406,6493,3748
LOC391722,6,0,0,2,3,2
LOC728175,14,12,11,12,13,12
IRF2,2689,1911,1821,977,1475,1107
CASP3,9538,7457,6898,51090,69386,33879
CCDC111,1065,855,781,574,807,433
MLF1IP,18899,16563,13928,24487,36195,19668
ACSL1,437,211,310,1709,2283,1284
SLED1,0,0,0,1,2,1
UQCRH,29021,24277,20507,33577,45315,23496
LOC731424,345,208,270,442,603,524
MIR3945,0,0,0,0,0,0
LOC100506229,0,0,0,0,0,1
MIR4455,0,0,0,0,0,0
LOC101928810,0,0,0,0,0,0
HELT,0,0,2,2,2,3
LOC101928877,1,1,0,0,0,0
LOC101928905,0,0,0,0,0,1
SLC25A4,7776,5442,5760,7010,9566,5355
KIAA1430,14168,10947,10453,12199,19147,11071
NSUN4,1877,1117,1406,2762,4310,2686
SNX25,5448,4217,4142,2542,3561,2149
LRP2BP,434,310,310,276,438,323
ANKRD37,384,235,241,119,134,58
UFSP2,5657,4285,4026,4636,6352,3841
C4orf47,843,568,538,332,489,344
CCDC110,804,519,663,216,373,248
PDLIM3,6494,5118,4935,1115,1816,1073
SORBS2,6974,4563,5376,1859,3002,2385
LOC101928929,0,0,0,0,0,0
TLR3,346,298,237,154,200,100
FAAH,1345,983,1022,865,1105,717
FAM149A,1899,1384,1397,803,1126,762
FLJ38576,87,59,56,86,129,76
CYP4V2,1168,853,916,1574,2492,1688
KLKB1,2034,1646,1500,1940,2650,1483
F11,33,15,19,47,63,41
LOC285441,5,5,3,4,1,1
SLC25A5P6,0,1,0,2,1,0
MTNR1A,44,14,49,50,63,72
FAT1,83938,55963,62682,67837,102623,69942
LOC729041,34,25,24,9,26,14
LOC339975,11,4,6,7,7,4
LOC100652955,0,0,0,0,0,0
LOC100506272,0,0,0,0,0,0
ZFP42,26897,21314,19561,55483,79150,45845
TRIML2,572,418,409,7531,10488,7156
TRIML1,1,0,0,0,2,0
LOC101929651,8,8,6,0,5,0
RPL7AP27,0,0,0,1,1,0
LOC401164,294,238,199,188,250,170
HSP90AA4P,5,3,6,13,17,13
LOC101928971,0,0,0,0,0,0
FRG1_variant1,2015,1775,1489,3031,4339,3177
TUBB7P_variant1,0,0,0,0,0,0
DUX4L9_variant1,2,0,0,1,0,0
DMBX1,200,117,156,5,7,5
FRG2_variant2,0,0,0,0,0,0
DUX2_variant1,0,0,0,0,0,0
DUX4L7_variant2,0,0,0,0,0,0
DUX4L6_variant1,0,0,0,0,0,0
DUX4L5_variant2,0,0,0,0,0,0
