Gene,3hrs.RNASeq_REPLICANT.1,3hrs.RNASeq_REPLICANT.2,3hrs.RNASeq_REPLICANT.3,24hrs.RNASeq_REPLICANT.1,24hrs.RNASeq_REPLICANT.2,24hrs.RNASeq_REPLICANT.3
DDX11L1,31,28,21,67,65,54
WASH7P,947,1572,1112,2719,1715,1987
LOC100996442,82,74,45,129,92,121
LOC101929017,89,141,90,201,165,166
MMACHC,943,1417,1112,1791,1246,1240
FGA,0,0,0,0,0,2
FGG,2,7,2,0,0,0
LOC101927965,6,17,31,30,15,23
LRAT,3772,5977,7179,9775,5905,7210
RBM46,31,38,38,85,57,59
NPY2R,125,151,123,29,17,14
MAP9,2666,3339,4178,4377,3378,3496
PRDX1,64217,92595,65435,76783,62449,54241
GUCY1A3,3,0,1,2,1,1
GUCY1B3,137,207,252,411,287,370
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,1,0,0,0,1,0
CTSO_variant1,63,80,58,314,266,242
LOC100505784,0,0,0,0,0,0
PDGFC,232,323,262,413,307,313
GLRB,34,51,43,128,100,85
GRIA2,32,3,1,0,1,0
LOC340017,0,0,1,0,1,0
FAM198B,1,1,0,3,1,2
LOC101928007,0,0,0,0,0,0
AKR1A1,8083,12644,9071,21965,15696,16337
TMEM144,451,599,570,1112,823,855
RXFP1,40,53,37,59,45,43
C4orf46,3483,4992,4349,9513,7234,6821
ETFDH,1116,1552,1387,1995,1447,1415
PPID,5245,7514,6816,8501,6519,6219
FNIP2,1488,2251,2644,2900,1629,2219
LOC101928028,0,0,0,0,0,0
C4orf45,1,1,1,1,1,2
NASP,10305,22361,61625,73015,27754,67472
PSME2P3,1,0,0,1,1,2
FABP5P12,1,0,0,0,0,0
RAPGEF2,7792,10918,9787,13649,9437,9719
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,34,47,41,24,26,21
LOC101928052,0,0,0,0,0,0
CCDC17,100,166,121,306,186,297
MIR4454,0,0,0,0,0,0
LOC101928081,27,28,39,46,30,41
NAF1,695,1261,1810,2095,1159,1597
NPY1R,799,1079,874,1309,1145,994
NPY5R,86,139,118,225,192,182
TKTL2,0,1,1,1,1,0
TMA16,3425,4754,4644,5902,4615,4646
MARCH1,740,819,574,927,854,694
GPBP1L1,9553,13717,11281,25573,18688,18559
ANP32C,0,2,0,0,0,0
LOC100505989,17,53,33,60,38,52
LOC100506013,12031,15537,12485,7577,5659,5414
