Gene,3hrs.RNASeq_REPLICANT.1,3hrs.RNASeq_REPLICANT.2,3hrs.RNASeq_REPLICANT.3,6hrs.RNASeq_REPLICANT.1,6hrs.RNASeq_REPLICANT.2,6hrs.RNASeq_REPLICANT.3
DDX11L1,31,28,21,53,65,48
WASH7P,947,1572,1112,1856,1627,1852
LOC100996442,82,74,45,82,91,116
LOC101929017,89,141,90,149,147,170
MMACHC,943,1417,1112,1434,1360,1452
FGA,0,0,0,0,1,0
FGG,2,7,2,2,3,5
LOC101927965,6,17,31,39,43,47
LRAT,3772,5977,7179,22496,21524,25154
RBM46,31,38,38,133,120,190
NPY2R,125,151,123,27,40,41
MAP9,2666,3339,4178,4316,4053,4742
PRDX1,64217,92595,65435,100486,99970,104263
GUCY1A3,3,0,1,2,2,0
GUCY1B3,137,207,252,669,657,715
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,1,0,0,0,1,2
CTSO_variant1,63,80,58,130,122,120
LOC100505784,0,0,0,0,0,0
PDGFC,232,323,262,581,525,652
GLRB,34,51,43,119,114,116
GRIA2,32,3,1,1,2,1
LOC340017,0,0,1,0,0,0
FAM198B,1,1,0,2,4,5
LOC101928007,0,0,0,0,0,0
AKR1A1,8083,12644,9071,19106,18408,19432
TMEM144,451,599,570,1240,1195,1309
RXFP1,40,53,37,381,264,363
C4orf46,3483,4992,4349,5951,5744,6727
ETFDH,1116,1552,1387,2055,2060,2290
PPID,5245,7514,6816,10160,10368,11077
FNIP2,1488,2251,2644,3300,3184,3540
LOC101928028,0,0,0,0,0,0
C4orf45,1,1,1,2,0,1
NASP,10305,22361,61625,109387,104532,103912
PSME2P3,1,0,0,1,0,0
FABP5P12,1,0,0,0,0,0
RAPGEF2,7792,10918,9787,9133,8905,10651
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,34,47,41,145,172,185
LOC101928052,0,0,0,0,0,0
CCDC17,100,166,121,221,188,258
MIR4454,0,0,0,0,0,0
LOC101928081,27,28,39,37,20,37
NAF1,695,1261,1810,899,833,869
NPY1R,799,1079,874,870,808,838
NPY5R,86,139,118,125,125,131
TKTL2,0,1,1,0,1,3
TMA16,3425,4754,4644,6028,6193,6740
MARCH1,740,819,574,554,473,854
GPBP1L1,9553,13717,11281,22188,21391,23213
ANP32C,0,2,0,0,1,0
LOC100505989,17,53,33,45,38,48
LOC100506013,12031,15537,12485,25612,25695,28336
RPL26P16,5,3,2,15,3,8
LOC101059914,3,0,0,7,2,0
RPS15AP10,20,43,38,86,77,82
NACA3P,0,2,2,1,3,0
TRIM61,847,1238,1211,1335,1299,1481
FAM218A,236,282,223,446,393,506
RPL21P51,21,14,16,20,21,19
TRIM60,2,1,2,3,3,2
RPL7AP16,53,59,55,85,91,124
TMEM192,1060,1555,1827,2508,2418,2595
KLHL2,1165,1783,1803,2304,2175,2211
GK3P,13,12,10,16,24,24
MSMO1,14331,18945,14521,11530,11462,12826
CPE,2059,2814,2337,4555,4462,4790
MIR578,0,0,0,0,0,0
HADHAP1,9,8,9,9,12,6
LOC402191,0,0,0,0,0,0
TMEM69,3072,4288,2672,4003,3650,4241
LOC101928151,17,57,55,62,59,66
LOC101928131,7,18,10,16,22,18
TLL1,64,87,70,96,108,104
SPOCK3,18,9,12,72,79,63
ANXA10,0,5,2,1,0,2
DDX60,518,704,612,2099,2020,2234
DDX60L,66,90,93,451,456,464
LOC100506504,114,161,123,190,161,199
IPP,278,378,562,1238,1159,1328
PALLD,5277,7896,12782,11744,11172,11885
RPL9P16,0,5,1,4,3,2
LOC101928172,56,73,81,57,55,63
CBR4,1713,2694,2963,6975,6554,7416
SH3RF1,1521,2477,2618,2831,2769,2882
RPL6P12,2,5,0,0,0,2
NEK1,1002,1498,3021,4396,4132,4554
CLCN3,4740,7430,8579,13831,13449,14222
RPL6P1,0,0,0,0,0,0
C4orf27,1125,1926,2291,5577,5246,5843
LOC100506085,129,173,150,293,308,292
MFAP3L,811,1080,874,1130,1085,1171
LOC101928198,0,0,1,0,0,0
AADAT,540,832,916,1059,961,1130
LOC101928223,16,25,30,84,66,90
LOC100506107,0,0,0,0,0,0
MAST2,1895,3282,4434,5668,5367,5846
LOC100506122,2,5,2,5,0,3
LOC101929135,0,0,0,0,0,0
LOC101928288,36,47,54,69,66,51
LOC441052,4,5,4,1,6,8
GALNTL6,6,9,14,11,5,12
LOC101928314,0,0,0,0,0,0
GALNT7,8954,12709,17702,17613,17581,19893
MIR548T,0,0,0,0,0,0
HMGB2,22260,32179,27063,59662,59286,61935
TMA16P2,7,12,12,11,18,16
SAP30,911,1335,1122,2144,2157,2009
LOC101928383,0,1,2,4,8,6
SCRG1,2,5,4,2,0,4
RPL5P11,0,1,0,2,1,1
LOC101928409,1,2,2,2,3,2
LOC101928439,0,0,0,0,0,0
HAND2,2,0,0,2,0,2
HAND2-AS1,0,0,1,0,0,0
PIK3R3,1116,1808,2194,4663,4458,4801
LOC101928478,0,2,1,6,6,4
LOC101928509,3,4,6,9,9,7
FBXO8,628,836,637,1334,1256,1371
CEP44,1579,2176,2296,4813,4401,5002
MIR4276,0,0,0,0,0,0
HPGD,62,95,85,119,137,137
GLRA3,5,8,4,10,11,19
LOC101928551,0,5,3,8,6,6
ADAM29,4,4,1,2,5,3
LOC101929626,2,1,1,3,2,2
TSEN2P1,0,0,0,0,0,0
GPM6A,219,253,214,923,824,975
LOC101928590,0,0,0,0,0,1
WDR17,577,686,722,1003,1018,1188
SPATA4,5,4,2,4,3,5
ASB5,0,2,1,1,1,2
TSPAN1,1,5,5,8,7,16
SPCS3,10516,13541,15407,21437,21313,24874
VEGFC,65,112,96,111,112,90
NEIL3,886,1289,1209,1698,1716,1826
AGA,1160,1552,1094,1742,1730,1828
LOC285500,1,3,0,2,3,6
LOC285501,1,2,0,0,0,0
LOC101928656,1,0,0,0,0,0
RPL19P8,1,0,0,1,0,1
POMGNT1,3325,5329,3574,5702,5654,5825
LINC00290,0,0,1,0,0,0
LOC101928679,1,1,2,2,1,4
LOC101928703,22,48,30,53,71,63
MGC45800,816,1173,885,1994,1847,2047
TENM3,4678,8191,10881,15065,14351,15688
MIR1305,0,0,0,0,0,0
DCTD,3371,5325,4644,6734,6292,6751
LURAP1,225,328,259,294,304,379
FAM92A1P2,5,6,6,16,10,23
WWC2-AS2,180,248,157,403,421,376
WWC2,12837,18691,20251,29953,28827,31596
LOC101928734,4,1,1,1,0,2
