Gene,3hrs.RNASeq_REPLICANT.1,3hrs.RNASeq_REPLICANT.2,3hrs.RNASeq_REPLICANT.3,48hrs.RNASeq_REPLICANT.1,48hrs.RNASeq_REPLICANT.2,48hrs.RNASeq_REPLICANT.3
DDX11L1,31,28,21,56,95,64
WASH7P,947,1572,1112,1813,2390,1855
LOC100996442,82,74,45,128,245,160
LOC101929017,89,141,90,153,265,195
MMACHC,943,1417,1112,1232,2054,1491
FGA,0,0,0,1,1,0
FGG,2,7,2,24,28,21
LOC101927965,6,17,31,50,53,47
LRAT,3772,5977,7179,35323,53138,31433
RBM46,31,38,38,135,214,144
NPY2R,125,151,123,65,82,40
MAP9,2666,3339,4178,5817,8637,5356
PRDX1,64217,92595,65435,121580,160911,74597
GUCY1A3,3,0,1,5,4,2
GUCY1B3,137,207,252,660,822,749
ASIC5_variant1,0,0,0,0,0,0
TDO2_variant1,1,0,0,7,9,2
CTSO_variant1,63,80,58,284,438,286
LOC100505784,0,0,0,0,0,0
PDGFC,232,323,262,501,830,421
GLRB,34,51,43,32,55,22
GRIA2,32,3,1,8,6,3
LOC340017,0,0,1,0,1,0
FAM198B,1,1,0,28,49,23
LOC101928007,0,0,0,0,0,0
AKR1A1,8083,12644,9071,17007,21056,10675
TMEM144,451,599,570,1021,1681,854
RXFP1,40,53,37,154,262,137
C4orf46,3483,4992,4349,7145,11151,6389
ETFDH,1116,1552,1387,1257,1639,1099
PPID,5245,7514,6816,14082,19920,13610
FNIP2,1488,2251,2644,5320,7874,4854
LOC101928028,0,0,0,0,0,0
C4orf45,1,1,1,4,1,1
NASP,10305,22361,61625,92134,114922,116437
PSME2P3,1,0,0,3,2,1
FABP5P12,1,0,0,1,0,1
RAPGEF2,7792,10918,9787,17145,26359,17914
MIR3688-1,0,0,0,0,0,0
MIR3688-2,0,0,0,0,0,0
FSTL5,34,47,41,81,92,34
LOC101928052,0,0,0,0,2,0
CCDC17,100,166,121,142,244,202
MIR4454,0,0,0,0,0,0
LOC101928081,27,28,39,69,141,105
NAF1,695,1261,1810,1357,4662,3086
NPY1R,799,1079,874,1981,3127,1762
NPY5R,86,139,118,197,313,176
TKTL2,0,1,1,3,1,0
TMA16,3425,4754,4644,8245,12673,7198
MARCH1,740,819,574,853,1772,972
GPBP1L1,9553,13717,11281,19165,29970,18021
ANP32C,0,2,0,2,0,1
LOC100505989,17,53,33,71,93,93
LOC100506013,12031,15537,12485,14274,23483,12653
RPL26P16,5,3,2,3,1,0
LOC101059914,3,0,0,0,0,0
RPS15AP10,20,43,38,84,115,118
NACA3P,0,2,2,5,0,0
TRIM61,847,1238,1211,2379,3258,2059
FAM218A,236,282,223,350,521,337
RPL21P51,21,14,16,11,19,5
TRIM60,2,1,2,3,5,3
RPL7AP16,53,59,55,100,163,99
TMEM192,1060,1555,1827,2682,3857,2731
KLHL2,1165,1783,1803,3008,4306,2465
GK3P,13,12,10,27,60,33
MSMO1,14331,18945,14521,22457,33612,17474
CPE,2059,2814,2337,3180,4538,2689
MIR578,0,0,0,0,0,0
HADHAP1,9,8,9,29,44,19
LOC402191,0,0,0,0,0,0
TMEM69,3072,4288,2672,2678,4121,2953
LOC101928151,17,57,55,73,125,83
LOC101928131,7,18,10,29,40,32
TLL1,64,87,70,104,182,111
SPOCK3,18,9,12,48,93,49
ANXA10,0,5,2,8,9,6
DDX60,518,704,612,2116,3036,1450
DDX60L,66,90,93,150,223,161
LOC100506504,114,161,123,172,311,251
IPP,278,378,562,717,915,567
PALLD,5277,7896,12782,16499,22014,15794
RPL9P16,0,5,1,3,2,0
LOC101928172,56,73,81,105,144,98
CBR4,1713,2694,2963,5394,8036,4748
SH3RF1,1521,2477,2618,4854,7150,4846
RPL6P12,2,5,0,1,8,2
NEK1,1002,1498,3021,4093,6106,4627
CLCN3,4740,7430,8579,18002,24493,15429
RPL6P1,0,0,0,0,0,0
C4orf27,1125,1926,2291,3820,5246,3314
LOC100506085,129,173,150,319,519,484
MFAP3L,811,1080,874,706,1134,619
LOC101928198,0,0,1,0,0,0
AADAT,540,832,916,1670,2400,1660
LOC101928223,16,25,30,130,166,90
LOC100506107,0,0,0,0,1,0
MAST2,1895,3282,4434,5958,7688,6804
LOC100506122,2,5,2,16,24,27
LOC101929135,0,0,0,0,0,0
LOC101928288,36,47,54,78,81,18
LOC441052,4,5,4,19,27,13
GALNTL6,6,9,14,40,32,9
LOC101928314,0,0,0,0,0,0
GALNT7,8954,12709,17702,21011,28167,19553
MIR548T,0,0,0,0,0,0
HMGB2,22260,32179,27063,86344,123632,85386
TMA16P2,7,12,12,25,31,16
SAP30,911,1335,1122,1361,1942,1195
LOC101928383,0,1,2,4,5,3
SCRG1,2,5,4,6,5,7
RPL5P11,0,1,0,2,0,2
LOC101928409,1,2,2,3,3,1
LOC101928439,0,0,0,0,0,0
HAND2,2,0,0,3,6,6
HAND2-AS1,0,0,1,0,0,1
PIK3R3,1116,1808,2194,6385,7994,5543
LOC101928478,0,2,1,4,1,1
LOC101928509,3,4,6,7,8,11
FBXO8,628,836,637,1440,2111,1082
CEP44,1579,2176,2296,5072,7164,3162
MIR4276,0,0,0,0,0,0
HPGD,62,95,85,162,239,130
GLRA3,5,8,4,25,35,20
LOC101928551,0,5,3,4,8,12
ADAM29,4,4,1,2,2,0
LOC101929626,2,1,1,7,5,6
TSEN2P1,0,0,0,0,0,0
GPM6A,219,253,214,393,654,340
LOC101928590,0,0,0,1,1,0
WDR17,577,686,722,1090,1579,937
SPATA4,5,4,2,4,0,0
ASB5,0,2,1,1,3,4
TSPAN1,1,5,5,12,17,14
SPCS3,10516,13541,15407,28066,44114,22706
VEGFC,65,112,96,154,207,141
NEIL3,886,1289,1209,1904,2804,1632
AGA,1160,1552,1094,2093,2851,1628
LOC285500,1,3,0,6,2,1
LOC285501,1,2,0,0,2,1
LOC101928656,1,0,0,1,2,1
RPL19P8,1,0,0,3,0,2
POMGNT1,3325,5329,3574,4399,6051,3866
LINC00290,0,0,1,0,0,0
LOC101928679,1,1,2,4,11,14
LOC101928703,22,48,30,20,27,21
MGC45800,816,1173,885,1405,2058,1339
TENM3,4678,8191,10881,6265,10793,9023
MIR1305,0,0,0,0,0,0
DCTD,3371,5325,4644,9167,12114,6557
LURAP1,225,328,259,156,228,188
FAM92A1P2,5,6,6,14,27,10
WWC2-AS2,180,248,157,374,613,283
WWC2,12837,18691,20251,30563,44318,28057
LOC101928734,4,1,1,4,2,1
CLDN22,0,0,0,0,0,0
CLDN24,4,10,6,20,30,26
CDKN2AIP,1405,2123,2512,5095,7240,3837
RAD54L,1322,2064,2265,3146,4762,3270
VTI1BP2,9,8,2,10,20,18
LOC389247,9,26,16,23,44,31
ING2,766,1089,1363,2597,3247,2772
RWDD4,3150,4051,3318,5170,7994,4529
TRAPPC11,4624,6746,5808,8571,12353,6886
LOC101928783,129,222,197,450,596,361
LOC101929169,32,39,31,13,10,8
STOX2,740,1093,989,2383,4045,2658
ENPP6,8,32,41,83,131,74
C1orf86,1005,1686,1845,3674,4520,3446
LRRC41,5071,7334,4084,4406,6493,3748
LOC391722,5,2,3,2,3,2
LOC728175,3,5,5,12,13,12
IRF2,1053,1513,1104,977,1475,1107
CASP3,15744,21468,18655,51090,69386,33879
CCDC111,324,424,454,574,807,433
MLF1IP,16771,21840,17887,24487,36195,19668
ACSL1,500,722,893,1709,2283,1284
SLED1,0,0,1,1,2,1
UQCRH,19996,28742,19758,33577,45315,23496
LOC731424,159,274,168,442,603,524
MIR3945,0,0,0,0,0,0
LOC100506229,0,0,0,0,0,1
MIR4455,0,0,0,0,0,0
LOC101928810,0,0,0,0,0,0
HELT,2,1,3,2,2,3
LOC101928877,0,0,0,0,0,0
LOC101928905,0,0,0,0,0,1
SLC25A4,4612,7238,5898,7010,9566,5355
KIAA1430,7220,9542,9077,12199,19147,11071
NSUN4,839,1356,1278,2762,4310,2686
SNX25,2285,3129,2351,2542,3561,2149
LRP2BP,100,147,120,276,438,323
ANKRD37,40,75,53,119,134,58
UFSP2,2687,3847,3192,4636,6352,3841
C4orf47,78,73,96,332,489,344
CCDC110,168,187,271,216,373,248
PDLIM3,1411,1858,1408,1115,1816,1073
SORBS2,1265,1856,1834,1859,3002,2385
LOC101928929,0,0,0,0,0,0
TLR3,171,196,177,154,200,100
FAAH,493,788,527,865,1105,717
FAM149A,759,1037,767,803,1126,762
FLJ38576,25,59,47,86,129,76
CYP4V2,630,898,694,1574,2492,1688
KLKB1,925,1310,986,1940,2650,1483
F11,16,23,25,47,63,41
LOC285441,1,3,3,4,1,1
SLC25A5P6,0,0,0,2,1,0
MTNR1A,17,22,32,50,63,72
FAT1,35930,51016,42049,67837,102623,69942
LOC729041,11,5,12,9,26,14
LOC339975,6,4,5,7,7,4
LOC100652955,0,0,0,0,0,0
LOC100506272,0,0,0,0,0,0
ZFP42,24394,33685,25465,55483,79150,45845
TRIML2,970,1306,942,7531,10488,7156
TRIML1,1,0,0,0,2,0
LOC101929651,1,5,2,0,5,0
RPL7AP27,1,0,0,1,1,0
LOC401164,113,160,106,188,250,170
HSP90AA4P,2,2,15,13,17,13
LOC101928971,2,0,0,0,0,0
FRG1_variant1,1296,1794,1350,3031,4339,3177
TUBB7P_variant1,0,0,0,0,0,0
DUX4L9_variant1,0,0,1,1,0,0
DMBX1,0,7,6,5,7,5
FRG2_variant2,0,0,0,0,0,0
DUX2_variant1,0,0,0,0,0,0
DUX4L7_variant2,0,0,0,0,0,0
DUX4L6_variant1,0,0,0,0,0,0
DUX4L5_variant2,0,0,0,0,0,0
DUX4L4_variant2,0,0,0,0,0,0
MKNK1-AS1,15,13,21,7,11,9
DUX4_variant1,0,0,0,0,0,0
DUX4L3_variant2,0,0,0,0,0,0
DUX4L2_variant1,0,0,0,0,0,0
MGC39584,0,4,3,4,2,2
LOC100996703,1,0,0,1,1,1
LOC101926992,0,0,0,0,0,0
MAFIP,1,4,3,0,4,3
PLEKHG4B,2819,4012,3090,4024,6275,4626
KNCN,1,0,0,0,2,0
LRRC14B,3,0,4,1,4,1
CCDC127,968,1536,1512,3148,4319,2530
SDHA,3283,5991,5741,8824,11148,7857
PDCD6,5376,8021,5656,9457,13125,7090
LOC100421419,23,12,7,25,50,39
AHRR,135,178,123,27,51,35
LOC100310782,0,0,0,0,0,0
C5orf55,207,281,208,265,370,228
EXOC3,2158,3509,3157,5425,6960,4465
PP7080,453,676,531,915,1275,730
MKNK1,390,681,757,691,889,638
SLC9A3,37,47,54,31,50,39
LOC100288152,313,448,332,145,267,160
MIR4456,0,0,0,0,0,0
LOC100996325,3,7,5,12,8,8
CEP72,1218,1871,1721,2314,3377,2287
TPPP,240,340,264,511,839,626
ZDHHC11B,25,35,34,66,75,78
LOC101928768,78,142,68,83,97,57
ZDHHC11,351,458,360,902,1439,1297
SKI,1327,2328,5225,7400,13906,11208
LOC101929673,2,1,3,1,7,0
BRD9,2485,4008,4245,8682,11381,8689
TRIP13,3896,6071,5466,9760,13682,7547
LOC100506688,41,62,37,64,110,80
NKD2,151,364,253,318,431,274
SLC12A7,976,1684,3549,3765,4179,3780
MIR4635,0,0,0,0,0,0
LOC101928793,170,196,260,383,525,367
LOC101928857,1,0,3,3,10,3
SLC6A19,0,2,2,4,6,5
SLC6A18,1,1,1,0,1,1
MOB3C,660,1083,905,311,416,306
TERT,716,1102,722,700,1121,631
MIR4457,0,0,0,0,0,0
CLPTM1L,6767,11073,8951,14198,18399,9666
LOC101928884,18,11,33,67,179,316
LOC100506791,0,1,3,12,14,6
SLC6A3,13,31,22,38,65,32
LPCAT1,9362,17392,23515,34679,45438,29082
SDHAP3,294,491,346,540,718,481
LOC728613,323,496,382,662,1024,739
LOC100132773,0,2,3,6,18,16
ATPAF1,4601,6449,5572,8291,12046,7339
MIR4277,0,0,0,0,0,0
LOC101929003,1,1,1,3,4,1
MRPL36,1405,2382,2063,1969,2723,1724
NDUFS6,2725,5100,6601,12109,15728,12691
LOC101929034,0,0,0,0,0,0
IRX4,164,268,220,256,328,159
LOC101929056,1,2,2,4,3,1
LOC101929081,1,2,1,0,1,2
LOC101929108,5,16,13,17,36,12
LOC100506858,0,0,0,0,0,0
TEX38,0,2,4,0,3,6
IRX2,4570,6686,4995,1505,2487,1588
C5orf38,66,108,70,72,67,30
LINC01019,1,1,0,1,3,0
IRX1,116,146,93,13,13,4
LOC101929153,0,0,0,0,0,0
LINC01020,0,0,0,1,0,0
LOC101929176,83,142,153,121,131,88
ADAMTS16,1334,2031,1699,1594,2216,1454
EFCAB14-AS1,1,2,5,3,9,4
LOC101929200,62,105,53,151,200,182
KIAA0947,10438,15242,15751,26846,40508,27695
LOC101929214,0,0,0,0,0,0
FLJ33360,5,4,4,3,10,14
MED10,194,404,1030,1316,1717,1326
UBE2QL1,57,81,67,118,177,113
LINC01018,86,89,79,71,82,45
NSUN2,8352,14574,15370,27462,39855,24141
SRD5A1,2527,3606,2966,5396,8092,3280
EFCAB14,5818,7772,5534,9971,18388,11461
LOC100505625,1,2,1,2,9,2
PAPD7,894,1637,1979,3471,5030,3588
MIR4278,0,0,0,0,0,0
LOC101929232,14,20,15,27,38,28
LOC442132,0,2,4,12,19,19
LOC101929261,0,0,0,1,1,0
ADCY2,2296,3500,3117,10448,14803,9691
C5orf49,32,64,54,86,114,62
LOC101929349,0,0,0,0,1,0
MTRR,3950,5648,4577,5382,8680,5251
FASTKD3,947,1453,1269,2310,3449,1830
LOC729506,0,0,0,0,0,0
MIR4458HG,0,0,1,2,1,1
MIR4458,0,0,0,0,0,0
LOC101929307,0,0,0,0,0,0
LOC101929284,0,0,0,2,1,0
SEMA5A,522,858,863,1206,2105,1333
CYP4B1,1,1,2,9,13,7
MIR4636,0,0,0,0,0,0
LOC101929338,1,4,2,7,18,7
SNHG18,313,411,311,298,339,211
SNORD123,0,0,0,0,0,0
LOC101929359,0,0,0,0,0,0
TAS2R1,0,1,0,0,0,1
LOC285692,0,0,1,1,1,1
FAM173B,1156,1675,1347,1279,1732,893
CCT5,65088,91721,63437,109419,155404,92200
CMBL,457,671,1062,1663,2072,1626
CYP4Z2P,0,0,0,0,1,0
MARCH6,8702,12250,12577,21775,32310,19814
ROPN1L-AS1,1,4,1,4,5,1
ROPN1L,29,45,20,32,38,19
LOC101929379,0,0,1,0,2,2
RPL30P7,0,0,0,0,0,0
LOC101929412,2,2,3,1,1,1
LOC389273,0,0,0,0,0,0
ANKRD33B,5469,8387,12931,10796,15130,10833
DAP,572,1057,2763,3953,4479,4335
LOC100533627,0,0,0,0,0,1
CTNND2,563,940,1198,993,1317,1110
CT49,1,0,0,0,0,0
RPL29P13,2,1,1,3,2,2
DNAH5,618,899,903,1337,2001,1284
TRIO,20329,28454,23608,39817,56363,35082
FAM105A,797,1153,1120,1974,2674,1565
MORN1,314,537,358,878,1269,860
CYP4A11,14,10,16,25,49,48
FAM105B,3798,5319,4681,6715,10555,5634
ANKH,291,464,473,572,968,740
LOC100130744,94,181,120,181,264,169
MIR4637,0,0,0,0,0,0
LOC101929454,0,0,0,0,0,0
CYP4X1,244,335,288,458,724,452
FBXL7,1101,1580,1354,745,2153,1573
LOC101929472,0,4,2,2,9,5
MIR887,0,0,0,0,0,0
MARCH11,1,8,9,22,30,23
LOC101929505,2,3,0,2,1,0
ZNF622,3255,5060,3660,6896,9413,5810
FAM134B,294,446,399,277,469,246
LOC101929524,159,261,211,484,758,678
MYO10,10307,17992,22826,38172,50106,39871
LOC285696,66,73,64,102,168,141
BASP1,6151,8733,7170,7767,10734,9289
CYP4Z1,2,5,2,3,7,2
LOC646012,0,0,0,0,0,0
FTH1P10,0,1,0,0,1,1
LOC401177,0,0,0,1,2,0
LOC101929544,0,0,0,1,0,0
gene10435,0,0,0,0,0,0
LOC100533626,0,0,0,2,0,1
LOC646241,0,0,0,0,2,2
CYP4A22,4,1,0,8,8,3
CDH18,30,29,25,32,46,22
GUSBP1,835,1147,795,1579,2429,1781
LOC100506217,65,119,78,231,367,260
CDH12,17,35,29,50,72,38
HSPD1P1,10,11,13,12,20,7
PMCHL1,0,0,0,0,0,0
LOC101929617,0,0,0,1,0,0
PRDM9,0,0,1,2,2,1
LOC503540,0,1,1,1,3,0
CDH10,9,14,13,36,45,20
LOC340107,0,0,0,0,0,0
LINC00853,1,5,1,13,17,7
MSNP1,1,1,0,4,2,1
CDH9,27,53,34,21,31,32
LINC01021,148,237,236,464,686,460
LSP1P3,0,0,0,0,0,0
SUCLG2P4,0,0,0,0,0,0
LOC101929645,6,4,4,4,12,7
LOC101929660_variant1,0,0,0,0,0,0
PDZK1IP1,0,0,0,1,1,2
LOC101929681,0,0,0,0,0,0
RPL19P11,8,3,0,0,4,0
CDH6,188,261,232,371,553,328
DROSHA,3594,5932,7322,7949,15955,13792
C5orf22,3325,5010,5029,8429,13340,8423
TAL1,18,29,13,47,63,31
PDZD2,571,815,829,824,1596,1244
RPL9P17,4,6,3,4,4,3
RPL21P56,8,10,5,11,7,5
RPL5P14,0,0,0,4,3,1
MIR4279,0,0,0,0,0,0
GOLPH3,6704,10286,10553,15613,23510,13182
RPL27P10,0,3,4,6,6,3
MTMR12,5862,10212,12081,17306,24418,15802
ZFR,16691,23338,20335,26843,40702,30332
LOC100129534,137,203,128,402,619,419
STIL,5639,7672,5306,10256,17895,11369
MIR579,0,0,0,0,0,0
SUB1,20132,24310,21838,33955,53257,30181
NPR3,15,19,25,158,305,153
LOC340113,0,0,0,1,0,1
RPS8P8,8,7,5,8,11,4
TARS,38601,56405,47090,75567,104679,70061
ADAMTS12,1669,2837,2987,3455,5029,3511
CMPK1,2840,3835,3988,5092,7375,4608
RXFP3,3,6,16,78,102,80
SLC45A2,2,2,3,4,5,6
PSMC6P3,0,1,2,0,0,0
C1QTNF3-AMACR,4,51,33,76,33,23
AMACR,1097,1576,1357,2781,3963,2195
C1QTNF3,30,35,30,17,39,20
LOC646652,313,428,409,1252,2067,1414
RAI14,12751,18357,18197,17320,26529,18422
FOXE3,6,10,10,13,20,21
LOC101929704,27,43,25,42,73,29
TTC23L,27,32,19,50,75,42
RAD1,3523,5328,5081,9387,13927,7052
BRIX1,4766,7210,7376,14493,20076,13506
DNAJC21,5026,7275,7658,15301,21072,15369
AGXT2,0,0,0,3,4,1
PRLR,327,515,389,915,1475,953
SPEF2,109,145,117,203,317,197
IL7R,22,37,28,16,35,20
FOXD2-AS1,5,6,9,2,9,4
CAPSL,4,4,5,7,6,10
LOC100506406,0,0,0,0,1,0
UGT3A1,267,381,258,442,645,360
UGT3A2,1747,2996,2458,2945,4776,2857
LMBRD2,886,1095,1010,1530,2483,1587
MIR580,0,0,0,0,0,0
SKP2,8710,12555,10707,14258,20340,11576
NADK2,2484,3543,3498,6869,10787,5358
RANBP3L,7,6,5,16,37,12
FOXD2,8,5,4,2,7,1
SLC1A3,732,1035,868,1076,1589,1039
LOC646719,971,1204,1023,1486,2548,1533
